# CVS $Revision$ $Author$ -- Sat Nov 23 14:46:39 2013 -- reformated by prettylst.pl v1.50 (build 22134)
#SOURCELONG:Revised (v.3.5) System Reference Document	SOURCESHORT:RSRD	SOURCEWEB:http://www.wizards.com/default.asp?x=d20/article/srd35
# Author: Eddy Anthony

# Ability Category					Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object					Plural description for UI			Display Location
ABILITYCATEGORY:Psion Feat				VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Psionic.Metapsionic.ItemCreation	PLURAL:Psion Feats				DISPLAYLOCATION:Feats
ABILITYCATEGORY:Psychic Warrior Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Psionic.Fighter				PLURAL:Psychic Warrior Feats			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Psionic Fist Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Psionic					PLURAL:Psionic Fist Feats			DISPLAYLOCATION:Feats

ABILITYCATEGORY:Psicrystal Personality		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:PsicrystalPersonality			PLURAL:Psicrystal Personalities		DISPLAYLOCATION:Feats

ABILITYCATEGORY:Elocator Transporter		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ElocatorTransporter			PLURAL:Elocator Transporter			DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Thrallherd Charm Choice		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ThrallherdCharm				PLURAL:Thrallherd Charm Choices		DISPLAYLOCATION:Class Abilities
ABILITYCATEGORY:Thrallherd Dominate Choice	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:ThrallherdDominate				PLURAL:Thrallherd Dominate Choices		DISPLAYLOCATION:Class Abilities

ABILITYCATEGORY:Astral Construct Menu A Ability	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:AstralConstructMenuA			PLURAL:Astral Construct Menu A Abilities	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Astral Construct Menu B Ability	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:AstralConstructMenuB			PLURAL:Astral Construct Menu B Abilities	DISPLAYLOCATION:Racial Abilities
ABILITYCATEGORY:Astral Construct Menu C Ability	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:AstralConstructMenuC			PLURAL:Astral Construct Menu C Abilities	DISPLAYLOCATION:Racial Abilities

ABILITYCATEGORY:Slayer Favored Enemy		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:NO						CATEGORY:Special Ability	TYPE:SlayerFavoredEnemy											DISPLAYLOCATION:Class Abilities

#
# End
#
