#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: $ $Author: $ -- Wed Sep  3 00:18:24 2014 -- reformated by prettylst.pl v1.51 (build 24947)
SOURCELONG:Psionics Expanded	SOURCESHORT:PsiEx	SOURCEWEB:http://dreamscarredpress.com/dragonfly/index.php	SOURCEDATE:2012-07
# ORIGINAL ENTRY: Douglas Limmer
# ORIGINAL ENTRY DATE: 2013/07/05

###Block: Weapon equipment modifiers
# Modifier Name			Unique Key										Type				Plus		Cost		Visible		Source Page		Required Type						Prohibited Type	Weapon prop. bonus				Special Property
Agile					KEY:Special Ability ~ Agile ~ Melee						TYPE:Melee.Weapon		PLUS:1			VISIBLE:QUALIFY	SOURCEPAGE:p.207	PRETYPE:4,WeaponEnhancement,Weapon,Melee,Finesseable				BONUS:WEAPON|DAMAGE|MAX(STR,DEX)-STR	SPROP:Add Dexterity bonus, instead of Strength bonus, to weapon damage
Dueling				KEY:Special Ability ~ Dueling / Luck Bonus ~ Melee			TYPE:Melee.Weapon		PLUS:1			VISIBLE:QUALIFY	SOURCEPAGE:p.207	PRETYPE:3,WeaponEnhancement,Weapon,Melee													SPROP:Gain luck bonus to CMB and CMD double the enchantment bonus with maneuvers when using weapon
Energy (Cold)			KEY:Special Ability ~ Energy / Cold ~ Ranged				TYPE:Ranged.Weapon			COST:12000	VISIBLE:QUALIFY	SOURCEPAGE:p.208	PRETYPE:3,WeaponEnhancement,Weapon,Ranged			!PRETYPE:1,Thrown								SPROP:Creates cold energy ammunition
Energy (Electricity)		KEY:Special Ability ~ Energy / Electricity ~ Ranged			TYPE:Ranged.Weapon			COST:12000	VISIBLE:QUALIFY	SOURCEPAGE:p.208	PRETYPE:3,WeaponEnhancement,Weapon,Ranged			!PRETYPE:1,Thrown								SPROP:Creates electricity energy ammunition
Energy (Fire)			KEY:Special Ability ~ Energy / Fire ~ Ranged				TYPE:Ranged.Weapon			COST:12000	VISIBLE:QUALIFY	SOURCEPAGE:p.208	PRETYPE:3,WeaponEnhancement,Weapon,Ranged			!PRETYPE:1,Thrown								SPROP:Creates fire energy ammunition
Energy (Greater Cold)		KEY:Special Ability ~ Energy / Cold / Greater ~ Ranged		TYPE:Ranged.Weapon	PLUS:4			VISIBLE:QUALIFY	SOURCEPAGE:p.208	PRETYPE:3,WeaponEnhancement,Weapon,Ranged			!PRETYPE:1,Thrown								SPROP:Converts ammunition to cold energy
Energy (Greater Electricity)	KEY:Special Ability ~ Energy / Electricity / Greater ~ Ranged	TYPE:Ranged.Weapon	PLUS:4			VISIBLE:QUALIFY	SOURCEPAGE:p.208	PRETYPE:3,WeaponEnhancement,Weapon,Ranged			!PRETYPE:1,Thrown								SPROP:Converts ammunition to electricity energy
Energy (Greater Fire)		KEY:Special Ability ~ Energy / Fire / Greater ~ Ranged		TYPE:Ranged.Weapon	PLUS:4			VISIBLE:QUALIFY	SOURCEPAGE:p.208	PRETYPE:3,WeaponEnhancement,Weapon,Ranged			!PRETYPE:1,Thrown								SPROP:Converts ammunition to fire energy
Guardian				KEY:Special Ability ~ Guardian ~ Weapon					TYPE:Weapon			PLUS:1			VISIBLE:QUALIFY	SOURCEPAGE:p.208	PRETYPE:2,WeaponEnhancement,Weapon														SPROP:Transfer some or all of enhancement bonus to saves
Linked Striking			KEY:Special Ability ~ Linked Striking ~ Weapon				TYPE:Weapon			PLUS:2			VISIBLE:QUALIFY	SOURCEPAGE:p.208	PRETYPE:2,WeaponEnhancement,Weapon														SPROP:Add 2 to enhancement bonus and +2d6 damage on subsequent hits vs. an enemy
Psychodisruptive			KEY:Special Ability ~ Psychodisruptive ~ Weapon				TYPE:Weapon			PLUS:3			VISIBLE:QUALIFY	SOURCEPAGE:p.40	PRETYPE:2,WeaponEnhancement,Weapon														SPROP:disrupts psionic and magical abilities
Rebounding				KEY:Special Ability ~ Rebounding ~ Thrown					TYPE:Weapon.Thrown			COST:12000	VISIBLE:QUALIFY	SOURCEPAGE:p.209	PRETYPE:3,WeaponEnhancement,Weapon,Thrown													SPROP:Use iterative attacks with single thrown weapon
Wrenching				KEY:Special Ability ~ Wrenching ~ Ranged					TYPE:Weapon.Ranged	PLUS:2			VISIBLE:QUALIFY	SOURCEPAGE:p.209	PRETYPE:3,WeaponEnhancement,Weapon,Ranged													SPROP:Reposition target towards wielder

###Block: Armor/Shield equipment modifiers
# Modifier Name	Unique Key							Type		Plus		Visible		Source Page		Required Type				Bonus Armor Mods													Special Property										Change Armor Type
Fusing		KEY:Special Ability ~ Fusing ~ Armor / Heavy	TYPE:Armor	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:p.207	PRETYPE:3,ArmorEnhancement,Armor,Heavy	BONUS:EQMARMOR|ACCHECK|1	BONUS:EQMARMOR|MAXDEX|1	BONUS:EQMARMOR|SPELLFAILURE|-10	SPROP:Armor Check reduced, Max Dex increased, one category lighter	ARMORTYPE:Heavy|Medium
Fusing		KEY:Special Ability ~ Fusing ~ Armor / Light	TYPE:Armor	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:p.207	PRETYPE:3,ArmorEnhancement,Armor,Light	BONUS:EQMARMOR|ACCHECK|1	BONUS:EQMARMOR|MAXDEX|1	BONUS:EQMARMOR|SPELLFAILURE|-10	SPROP:Armor Check reduced, Max Dex increased, one category lighter	ARMORTYPE:Heavy|Medium
Fusing		KEY:Special Ability ~ Fusing ~ Armor / Medium	TYPE:Armor	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:p.207	PRETYPE:3,ArmorEnhancement,Armor,Medium	BONUS:EQMARMOR|ACCHECK|1	BONUS:EQMARMOR|MAXDEX|1	BONUS:EQMARMOR|SPELLFAILURE|-10	SPROP:Armor Check reduced, Max Dex increased, one category lighter	ARMORTYPE:Medium|Light	ARMORTYPE:Heavy|Medium
Fusing		KEY:Special Ability ~ Fusing ~ Shield		TYPE:Shield	PLUS:2	VISIBLE:QUALIFY	SOURCEPAGE:p.207	PRETYPE:2,ShieldEnhancement,Shield		BONUS:EQMARMOR|ACCHECK|1	BONUS:EQMARMOR|MAXDEX|1	BONUS:EQMARMOR|SPELLFAILURE|-10	SPROP:Armor Check reduced, Max Dex increased, one category lighter	ARMORTYPE:Heavy|Medium

#
# End
#



#Old KEYs
###Block: Weapon equipment modifiers
# Modifier Name										Visible
Special Ability ~ Agile ~ Melee.COPY=AGILE					VISIBLE:NO
Special Ability ~ Dueling / Luck Bonus ~ Melee.COPY=DUEL			VISIBLE:NO
Special Ability ~ Energy / Cold ~ Ranged.COPY=ENRGY_C				VISIBLE:NO
Special Ability ~ Energy / Electricity ~ Ranged.COPY=ENRGY_E		VISIBLE:NO
Special Ability ~ Energy / Fire ~ Ranged.COPY=ENRGY_F				VISIBLE:NO
Special Ability ~ Energy / Cold / Greater ~ Ranged.COPY=ENRGY_GC		VISIBLE:NO
Special Ability ~ Energy / Electricity / Greater ~ Ranged.COPY=ENRGY_GE	VISIBLE:NO
Special Ability ~ Energy / Fire / Greater ~ Ranged.COPY=ENRGY_GF		VISIBLE:NO
Special Ability ~ Guardian ~ Weapon.COPY=GUARDN					VISIBLE:NO
Special Ability ~ Linked Striking ~ Weapon.COPY=LNKST				VISIBLE:NO
Special Ability ~ Psychodisruptive ~ Weapon.COPY=PSYDIS			VISIBLE:NO
Special Ability ~ Rebounding ~ Thrown.COPY=RBDNG				VISIBLE:NO
Special Ability ~ Wrenching ~ Ranged.COPY=WRNCH					VISIBLE:NO

###Block: Armor/Shield equipment modifiers
# Modifier Name									Visible
Special Ability ~ Fusing ~ Armor / Heavy.COPY=FUSE_ARMR_HVY		VISIBLE:NO
Special Ability ~ Fusing ~ Armor / Light.COPY=FUSE_ARMR_LT		VISIBLE:NO
Special Ability ~ Fusing ~ Armor / Medium.COPY=FUSE_ARMR_MED	VISIBLE:NO
Special Ability ~ Fusing ~ Shield.COPY=FUSE_ARMR_SHLD			VISIBLE:NO
