# CVS $Revision: 10335 $ $Author: amaitland $ -- Sun Sep  7 15:03:36 2008 -- reformated by prettylst.pl v1.38 (build 7233)
SOURCELONG:Faeries	SOURCESHORT:Faeries	SOURCEWEB:http://dragonwing.net/Faeries.htm
#Original Entry: darkon_turas; clean up by Andrew Maitland

# Aspect Name			Type			Cost	Multiple?	Stacks?		Source Index		Prerequisites							Bonuses					Penalties					Description
#------------------------------	-----------------------	-------	---------------	---------------	-----------------------	---------------------------------------------------------------	---------------------------------------	-----------------------------------------------	-------------
#Aspect of the Air
# Feat Name			Type				Required Template					Special ABility												Description		Stackable?	Multiple?	Cost		Source Page
# Ability Name		Category of Ability		Type							Required Template					Special ABility												Description		Stackable?	Multiple?	Cost		Source Page
Clear Skies			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheAir		PRETEMPLATE:1,Aspect of the Air		DESC:Capable spellcasting (electricity)	DESC:Crude spellcasting (acid)				STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Cyclone			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheAir		PRETEMPLATE:1,Aspect of the Air		DESC:+1 to Attack rolls 3x/day	DESC:-1 to Attack rolls 3x/day						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Hurricane		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheAir		PRETEMPLATE:1,Aspect of the Air		DESC:+1 to Damage rolls 3x/day	DESC:-1 to Damage rolls 3x/day						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Typhoon			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheAir		PRETEMPLATE:1,Aspect of the Air		DESC:+1 to AC rolls 3x/day	DESC:-1 to AC rolls 3x/day						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Winds			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheAir		PRETEMPLATE:1,Aspect of the Air		DESC:+1 to Reflex saving throws	DESC:-1 to Fortitude saving throws				STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Animal
The Bird			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheAnimal	PRETEMPLATE:1,Aspect of the Animal		DESC:+1 to Reflex saving throws	DESC:-1 to Fortitude saving throws				STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Insect			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheAnimal	PRETEMPLATE:1,Aspect of the Animal		DESC:+1 to AC 3x/day	DESC:-1 to Damage rolls 3x/day							STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Mammal			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheAnimal	PRETEMPLATE:1,Aspect of the Animal		DESC:+1 to Damage rolls 3x/day	DESC:-1 to Attack rolls 3x/day						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Reptile			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheAnimal	PRETEMPLATE:1,Aspect of the Animal		DESC:+1 to AC 3x/day	DESC:-1 to Atteck rolls 3x/day							STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Rodent			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheAnimal	PRETEMPLATE:1,Aspect of the Animal		DESC:+1 to Reflex saving throws	DESC:-1 to Will saving throws					STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Autumn
Autumnal Splendor		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheAutumn	PRETEMPLATE:1,Aspect of the Autumn		DESC:+1 to Reflex saving throws	DESC:-1 to Fortitude saving throws				STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
Falling Leaves		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheAutumn	PRETEMPLATE:1,Aspect of the Autumn		DESC:Effective spellcasting (sonic)	DESC:-1 to Ineffective spellcasting (force)		STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
Darkening Skies		CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheAutumn	PRETEMPLATE:1,Aspect of the Autumn		DESC:Capable spellcasting (acid)	DESC:-1 to Crude spellcasting (electricity)		STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Harvest			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheAutumn	PRETEMPLATE:1,Aspect of the Autumn		DESC:+1 to Attack rolls 3x/day	DESC:-1 to AC 3x/day							STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
Renewal			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheAutumn	PRETEMPLATE:1,Aspect of the Autumn		DESC:+1 to Damage rolls 3x/day	DESC:-1 to Attack rolls 3x/day						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Darkness
The Moon			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheDarkness	PRETEMPLATE:1,Aspect of the Darkness	DESC:Practiced spell (chaos)	DESC:Amateur spell (law)							STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Night			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheDarkness	PRETEMPLATE:1,Aspect of the Darkness	DESC:Effective spellcasting (cold)	DESC:Ineffective spellcasting (fire)				STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Shadows			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheDarkness	PRETEMPLATE:1,Aspect of the Darkness	DESC:+1 to AC 3x/day	DESC:-1 to AC 3x/day								STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Stars			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheDarkness	PRETEMPLATE:1,Aspect of the Darkness	DESC:Capable spellcasting (darkness)	DESC:Crude spellcasting (light)				STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39
The Void			CATEGORY:Special Ability	TYPE:SpecialQuality.AspectOfNature.AspectOfTheDarkness	PRETEMPLATE:1,Aspect of the Darkness	DESC:+1 to Damage rolls 3x/day	DESC:-1 to Attack rolls 3x/day						STACK:NO	MULT:NO	COST:0	SOURCEPAGE:p.39

#Aspect of the Dawn
