# CVS $Revision: 18757 $ $Author: amaitland $ -- Wed Nov 17 11:55:35 2010 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Inner Sea Primer	SOURCESHORT:ISP	SOURCEWEB:http://paizo.com/store/byCompany/p/paizoPublishingLLC/pathfinder/companion/pathfinderRPG/v5748btpy8hih	SOURCEDATE:2010-11

# Human Languages
# Language		Type
Azlanti		TYPE:Spoken.Written.Read
Hallit		TYPE:Spoken.Written.Read
Kelish		TYPE:Spoken.Written.Read
Osiriani		TYPE:Spoken.Written.Read
Polyglot		TYPE:Spoken.Written.Read
Shadowtongue	TYPE:Spoken.Written.Read
Shoanti		TYPE:Spoken.Written.Read
Skald			TYPE:Spoken.Written.Read
Tien			TYPE:Spoken.Written.Read
Varisian		TYPE:Spoken.Written.Read
Vudrani		TYPE:Spoken.Written.Read

###Block: Ancient Languages
# Language		Type
Ancient Osiriani	TYPE:Read.Written

#
# End
#
