# CVS $Revision: $ $Author: $ -- Thu Nov  1 07:41:01 2012 -- reformated by prettylst.pl v1.39 (build 15052)
AGESET:0|Adulthood

RACENAME:Human (Minor Race)		BASEAGEADD:3	SEX:Male[BASEHT:140|HTDIEROLL:(2d6*5)|BASEWT:49|WTDIEROLL:1d8|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]Female[BASEHT:130|HTDIEROLL:(2d6*5)|BASEWT:44|WTDIEROLL:1d6|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]
RACENAME:Human (Mixed Solomani)	BASEAGEADD:3	SEX:Male[BASEHT:140|HTDIEROLL:(2d6*5)|BASEWT:49|WTDIEROLL:1d8|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]Female[BASEHT:130|HTDIEROLL:(2d6*5)|BASEWT:44|WTDIEROLL:1d6|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]
RACENAME:Human (Solomani)		BASEAGEADD:3	SEX:Male[BASEHT:140|HTDIEROLL:(2d6*5)|BASEWT:49|WTDIEROLL:1d8|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]Female[BASEHT:130|HTDIEROLL:(2d6*5)|BASEWT:44|WTDIEROLL:1d6|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]
RACENAME:Human (Zhodani)		BASEAGEADD:3	SEX:Male[BASEHT:140|HTDIEROLL:(2d6*5)|BASEWT:49|WTDIEROLL:1d8|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]Female[BASEHT:130|HTDIEROLL:(2d6*5)|BASEWT:44|WTDIEROLL:1d6|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]
RACENAME:Human (Vilani)			BASEAGEADD:3	SEX:Male[BASEHT:140|HTDIEROLL:(2d6*5)|BASEWT:54|WTDIEROLL:1d8|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]Female[BASEHT:130|HTDIEROLL:(2d6*5)|BASEWT:49|WTDIEROLL:1d6|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]
RACENAME:Human (Mixed Vilani)		BASEAGEADD:3	SEX:Male[BASEHT:158|HTDIEROLL:(2d6*5)|BASEWT:49|WTDIEROLL:1d8|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]Female[BASEHT:148|HTDIEROLL:(2d6*5)|BASEWT:44|WTDIEROLL:1d6|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]
RACENAME:Human (Zhodani)		BASEAGEADD:3	SEX:Male[BASEHT:158|HTDIEROLL:(2d6*5)|BASEWT:49|WTDIEROLL:1d8|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]Female[BASEHT:148|HTDIEROLL:(2d6*5)|BASEWT:44|WTDIEROLL:1d6|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]
RACENAME:Vargr							SEX:Male[BASEHT:130|HTDIEROLL:(2d6*5)|BASEWT:46|WTDIEROLL:1d4|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]Female[BASEHT:120|HTDIEROLL:(2d6*5)|BASEWT:41|WTDIEROLL:1d4|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]
RACENAME:Aslan							SEX:Male[BASEHT:170|HTDIEROLL:(2d6*5)|BASEWT:60|WTDIEROLL:1d8|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]Female[BASEHT:160|HTDIEROLL:(2d6*5)|BASEWT:55|WTDIEROLL:1d8|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]
RACENAME:Luriani							SEX:Male[BASEHT:140|HTDIEROLL:(2d6*5)|BASEWT:49|WTDIEROLL:1d8|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]Female[BASEHT:130|HTDIEROLL:(2d6*5)|BASEWT:44|WTDIEROLL:1d6|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]
RACENAME:Sydite							SEX:Male[BASEHT:190|HTDIEROLL:(2d6*5)|BASEWT:80|WTDIEROLL:2d6|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]Female[BASEHT:180|HTDIEROLL:(2d6*5)|BASEWT:75|WTDIEROLL:2d6|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]
RACENAME:Ursa							SEX:Male[BASEHT:200|HTDIEROLL:(4d6*5)|BASEWT:300|WTDIEROLL:4d6|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]Female[BASEHT:180|HTDIEROLL:(4d6*5)|BASEWT:250|WTDIEROLL:4d6|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]
RACENAME:Virushi							SEX:Male[BASEHT:170|HTDIEROLL:(4d6*5)|BASEWT:230|WTDIEROLL:10d10|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]Female[BASEHT:160|HTDIEROLL:(4d6*5)|BASEWT:200|WTDIEROLL:10d10|TOTALWT:BASEWT+(HTDIEROLL/5*WTDIEROLL)]
#
RACENAME:Human (Minor Race)		BASEAGE:15	MAXAGE:34	AGEDIEROLL:5d4	HAIR:Blond|Brown	EYES:Blue	SKINTONE:Tanned|Pasty
RACENAME:Human (Mixed Solomani)	BASEAGE:15	MAXAGE:34	AGEDIEROLL:5d4	HAIR:Blond|Brown	EYES:Blue	SKINTONE:Tanned|Pasty
RACENAME:Human (Mixed Vilani)		BASEAGE:15	MAXAGE:34	AGEDIEROLL:5d4	HAIR:Blond|Brown	EYES:Blue	SKINTONE:Tanned|Pasty
RACENAME:Human (Solomani)		BASEAGE:15	MAXAGE:34	AGEDIEROLL:5d4	HAIR:Blond|Brown	EYES:Blue	SKINTONE:Tanned|Pasty
RACENAME:Human (Vilani)			BASEAGE:15	MAXAGE:34	AGEDIEROLL:5d4	HAIR:Blond|Brown	EYES:Blue	SKINTONE:Tanned|Pasty
RACENAME:Human (Zhodani			BASEAGE:15	MAXAGE:34	AGEDIEROLL:5d4	HAIR:Blond|Brown	EYES:Blue	SKINTONE:Tanned|Pasty)
RACENAME:Human (Vilani)			BASEAGE:15	MAXAGE:44	AGEDIEROLL:5d4	HAIR:Blond|Brown	EYES:Blue	SKINTONE:Tanned|Pasty
RACENAME:Human (Mixed Vilani)		BASEAGE:15	MAXAGE:39	AGEDIEROLL:5d4	HAIR:Blond|Brown	EYES:Blue	SKINTONE:Tanned|Pasty
RACENAME:Vargr				BASEAGE:15	MAXAGE:34	AGEDIEROLL:5d4	HAIR:Blond|Brown	EYES:Blue	SKINTONE:Tanned|Pasty
RACENAME:Aslan				BASEAGE:14	MAXAGE:55	AGEDIEROLL:4d10	HAIR:Blond|Brown	EYES:Blue	SKINTONE:Tanned|Pasty
RACENAME:Luriani				BASEAGE:15	MAXAGE:34	AGEDIEROLL:5d4	HAIR:Blond|Brown	EYES:Blue	SKINTONE:Tanned|Pasty
RACENAME:Sydite				BASEAGE:15	MAXAGE:29	AGEDIEROLL:1d12+3	HAIR:Blond|Brown	EYES:Blue	SKINTONE:Tanned|Pasty
RACENAME:Ursa				BASEAGE:12	MAXAGE:24	AGEDIEROLL:1d10	HAIR:Blond|Brown	EYES:Blue	SKINTONE:Tanned|Pasty
RACENAME:Virushi				BASEAGE:15	MAXAGE:34	AGEDIEROLL:5d4	HAIR:Blond|Brown	EYES:Blue	SKINTONE:Tanned|Pasty
#
AGESET:1|Middle Age	BONUS:STAT|STR,CON,DEX|-1	BONUS:STAT|WIS,EDU|1
RACENAME:Human (Minor Race)		BASEAGE:35	MAXAGE:52	AGEDIEROLL:3d6
RACENAME:Human (Mixed Solomani)	BASEAGE:35	MAXAGE:52	AGEDIEROLL:3d6
RACENAME:Human (Solomani)		BASEAGE:35	MAXAGE:52	AGEDIEROLL:3d6
RACENAME:Human (Zhodani)		BASEAGE:35	MAXAGE:52	AGEDIEROLL:3d6
RACENAME:Human (Vilani)			BASEAGE:45	MAXAGE:62	AGEDIEROLL:3d6
RACENAME:Human (Mixed Vilani)		BASEAGE:40	MAXAGE:57	AGEDIEROLL:3d6
RACENAME:Vargr				BASEAGE:35	MAXAGE:52	AGEDIEROLL:3d6
RACENAME:Aslan				BASEAGE:56	MAXAGE:59	AGEDIEROLL:1d4
RACENAME:Luriani				BASEAGE:35	MAXAGE:52	AGEDIEROLL:3d6
RACENAME:Sydite				BASEAGE:30	MAXAGE:47	AGEDIEROLL:3d6
RACENAME:Ursa				BASEAGE:25	MAXAGE:42	AGEDIEROLL:2d10
RACENAME:Virushi				BASEAGE:35	MAXAGE:52	AGEDIEROLL:3d10
#
AGESET:2|Old		BONUS:STAT|STR,CON,DEX|-2	BONUS:STAT|WIS,EDU|2
RACENAME:Human (Minor Race)		BASEAGE:53	MAXAGE:79	AGEDIEROLL:4d4+1
RACENAME:Human (Mixed Solomani)	BASEAGE:53	MAXAGE:79	AGEDIEROLL:4d4+1
RACENAME:Human (Solomani)		BASEAGE:53	MAXAGE:79	AGEDIEROLL:4d4+1
RACENAME:Human (Zhodani)		BASEAGE:53	MAXAGE:79	AGEDIEROLL:4d4+1
RACENAME:Human (Vilani)			BASEAGE:63	MAXAGE:90	AGEDIEROLL:3d6
RACENAME:Human (Mixed Vilani)		BASEAGE:58	MAXAGE:85	AGEDIEROLL:3d6
RACENAME:Vargr				BASEAGE:53	MAXAGE:69	AGEDIEROLL:3d6
RACENAME:Aslan				BASEAGE:60	MAXAGE:69	AGEDIEROLL:1d4
RACENAME:Luriani				BASEAGE:53	MAXAGE:69	AGEDIEROLL:3d6
RACENAME:Sydite				BASEAGE:48	MAXAGE:64	AGEDIEROLL:3d6
RACENAME:Ursa				BASEAGE:43	MAXAGE:59	AGEDIEROLL:2d10
RACENAME:Virushi				BASEAGE:53	MAXAGE:69	AGEDIEROLL:3d10

AGESET:3|Venerable	BONUS:STAT|STR,CON,DEX|-3	BONUS:STAT|WIS,EDU|3
RACENAME:Human (Minor Race)		BASEAGE:80	MAXAGE:100	AGEDIEROLL:2d10
RACENAME:Human (Mixed Solomani)	BASEAGE:80	MAXAGE:100	AGEDIEROLL:2d10
RACENAME:Human (Solomani)		BASEAGE:80	MAXAGE:100	AGEDIEROLL:2d10
RACENAME:Human (Zhodani)		BASEAGE:80	MAXAGE:100	AGEDIEROLL:2d10
RACENAME:Human (Vilani)			BASEAGE:91	MAXAGE:152	AGEDIEROLL:6d10
RACENAME:Human (Mixed Vilani)		BASEAGE:86	MAXAGE:126	AGEDIEROLL:4d10
RACENAME:Vargr				BASEAGE:70	MAXAGE:90	AGEDIEROLL:2d10
RACENAME:Aslan				BASEAGE:70	MAXAGE:80	AGEDIEROLL:1d10
RACENAME:Luriani				BASEAGE:70	MAXAGE:90	AGEDIEROLL:2d10
RACENAME:Sydite				BASEAGE:65	MAXAGE:83	AGEDIEROLL:2d8
RACENAME:Ursa				BASEAGE:60	MAXAGE:72	AGEDIEROLL:2d12
RACENAME:Virushi				BASEAGE:70	MAXAGE:90	AGEDIEROLL:2d10
