# CVS $Revision$ $Author$ -- Fri Dec 28 23:33:15 2007 -- reformated by prettylst.pl v1.38 (build 4314)
# Original Entry: Andrew Maitland
SOURCELONG:Alderac Entertainment Group (AEG) - Feats	SOURCESHORT:Feats	SOURCEWEB:http://alderac.com/d20	SOURCEDATE:2003-07

###Arcane Power from Feat
# Spell Name	School		Type		Components	Casting Time		Range		Target Area or Effect	Duration			Save Info			Spell Resistance	Description																							Source Page
Arcane Power	SCHOOL:Universal	TYPE:Arcane	COMPS:V	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One creature	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:A blast of arcane magic erupts from your hand, dealing (CASTERLEVEL/2) point(s) damage to any single creature within range.			SOURCEPAGE:pg.114
Arcane Power I	SCHOOL:Universal	TYPE:Arcane	COMPS:V	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One creature	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:A blast of arcane magic erupts from your hand, dealing (CASTERLEVEL) point damage to any single creature within range.				SOURCEPAGE:pg.114
Arcane Power II	SCHOOL:Universal	TYPE:Arcane	COMPS:V	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One creature	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:A blast of arcane magic erupts from your hand, dealing (CASTERLEVEL)d3 points damage to any single creature within range.			SOURCEPAGE:pg.114
Arcane Power III	SCHOOL:Universal	TYPE:Arcane	COMPS:V	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One creature	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:A blast of arcane magic erupts from your hand, dealing (CASTERLEVEL)d4 points damage to any single creature within range.			SOURCEPAGE:pg.114
Arcane Power IV	SCHOOL:Universal	TYPE:Arcane	COMPS:V	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One creature	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:A blast of arcane magic erupts from your hand, dealing (CASTERLEVEL)d6 points damage to any single creature within range.			SOURCEPAGE:pg.114
Arcane Power V	SCHOOL:Universal	TYPE:Arcane	COMPS:V	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One creature	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:A blast of arcane magic erupts from your hand, dealing (CASTERLEVEL)d8 points damage to any single creature within range.			SOURCEPAGE:pg.114
Arcane Power VI	SCHOOL:Universal	TYPE:Arcane	COMPS:V	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One creature	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:A blast of arcane magic erupts from your hand, dealing (CASTERLEVEL)d8+(CASTERLEVEL*2) points damage to any single creature within range.	SOURCEPAGE:pg.114
Arcane Power VII	SCHOOL:Universal	TYPE:Arcane	COMPS:V	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One creature	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:A blast of arcane magic erupts from your hand, dealing (CASTERLEVEL)d10 points damage to any single creature within range.			SOURCEPAGE:pg.114
Arcane Power VIII	SCHOOL:Universal	TYPE:Arcane	COMPS:V	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One creature	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:A blast of arcane magic erupts from your hand, dealing (CASTERLEVEL)d10+(CASTERLEVEL*3) points damage to any single creature within range.	SOURCEPAGE:pg.114
Arcane Power IX	SCHOOL:Universal	TYPE:Arcane	COMPS:V	CASTTIME:1 full round	RANGE:Close	TARGETAREA:One creature	DURATION:Instantaneous	SAVEINFO:Reflex half	SPELLRES:Yes	DESC:A blast of arcane magic erupts from your hand, dealing (CASTERLEVEL)d12+(CASTERLEVEL*3) points damage to any single creature within range.	SOURCEPAGE:pg.114

#
##EOF
#
