#  Fri Nov 16 19:52:40 2018 -- reformated by PCGen PrettyLST v6.08.00
# CVS $Revision: $ $Author: $ -- Thu May 12 14:50:48 2016 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Pathfinder Player Companion: Champions of Corruption	SOURCESHORT:COC	SOURCEWEB:http://paizo.com/products/btpy991x	SOURCEDATE:2014-09
# ORIGINAL ENTRY: Gwen T. (evilpixie87)
# ORIGINAL ENTRY DATE: 8 April 2016

# ==============================
# New Poisons/Drug
# ==============================

# Equipment Name					Type							Cost		Weight	Source Page		Special Property
Poison (Peasant's Woe)				TYPE:Goods.Poison.Consumable			COST:400			SOURCEPAGE:p.27	SPROP:Injury; Fort DC 15; Onset -; Freq 1 rd (4); Effect -10 ft. speed, 1 Dex dmg; Cure 1 save
Poison (Brain Blot)				TYPE:Goods.Poison.Consumable			COST:800			SOURCEPAGE:p.27	SPROP:Inhaled; Fort DC 13; Onset 1 min; Freq 1 min (6); Effect -5 concentration/1 hr, 1 Int dmg; Cure 1 save
Poison (Everwake Serum)				TYPE:Goods.Poison.Consumable			COST:2500			SOURCEPAGE:p.27	SPROP:Ingested; Fort DC 17; Onset -; Freq 1 day (5) Effect No sleep; Cure 2 consecutive saves

Drug (Euphoric Healing)				TYPE:Goods.Drug.Consumable			COST:0			SOURCEPAGE:p.30	SPROP:Spell; Addiction minor, Fortitude DC 13; Effect 24 hr.; -2 penalty against all mind-affecting spells cast by the amulet's wearer; 1 Wis damage

# ==============================
# New Magic Items
# ==============================

Amulet of Euphoric Healing			TYPE:Magic.Wondrous.Amulet			COST:12000	WT:1		SOURCEPAGE:p.30
Collar of Unliving Servitude			TYPE:Magic.Wondrous.Amulet			COST:14000	WT:1		SOURCEPAGE:p.30
Dark Life Ring					TYPE:Magic.Ring					COST:1250			SOURCEPAGE:p.30
Dirgesinger's Choir				TYPE:Magic.Wondrous.Instrument		COST:34000	WT:3		SOURCEPAGE:p.30
Elixir of Repression				TYPE:Magic.Wondrous.Elixir.Consumable	COST:150			SOURCEPAGE:p.31
Hand of Hoarded Deaths				TYPE:Magic.Wondrous.Glove			COST:25000			SOURCEPAGE:p.31
Ring of Plagues					TYPE:Magic.Ring					COST:20000			SOURCEPAGE:p.31
Shadow Piercing (Body/Minor)			TYPE:Magic.Wondrous				COST:1800			SOURCEPAGE:p.28
Shadow Piercing (Body/Major)			TYPE:Magic.Wondrous				COST:2400			SOURCEPAGE:p.29
Shadow Piercing (Body/Greater)		TYPE:Magic.Wondrous				COST:3200			SOURCEPAGE:p.29
Shadow Piercing (Chest/Minor)			TYPE:Magic.Wondrous				COST:2200			SOURCEPAGE:p.29
Shadow Piercing (Chest/Major)			TYPE:Magic.Wondrous				COST:3750			SOURCEPAGE:p.29
Shadow Piercing (Chest/Greater)		TYPE:Magic.Wondrous				COST:5750			SOURCEPAGE:p.29
Shadow Piercing (Eye/Minor)			TYPE:Magic.Wondrous				COST:6000			SOURCEPAGE:p.29
Shadow Piercing (Eye/Major)			TYPE:Magic.Wondrous				COST:18000			SOURCEPAGE:p.29
Shadow Piercing (Eye/Greater)			TYPE:Magic.Wondrous				COST:32000			SOURCEPAGE:p.29
Shadow Piercing (Head/Minor)			TYPE:Magic.Wondrous				COST:3750			SOURCEPAGE:p.29
Shadow Piercing (Head/Major)			TYPE:Magic.Wondrous				COST:6000			SOURCEPAGE:p.29
Shadow Piercing (Head/Greater)		TYPE:Magic.Wondrous				COST:33600			SOURCEPAGE:p.29
Shadow Piercing (Suspension/Minor)		TYPE:Magic.Wondrous				COST:6000			SOURCEPAGE:p.29
Shadow Piercing (Suspension/Major)		TYPE:Magic.Wondrous				COST:7200			SOURCEPAGE:p.29
Shadow Piercing (Suspension/Greater)	TYPE:Magic.Wondrous				COST:11200			SOURCEPAGE:p.29
Sinner's Wage					TYPE:Magic.Wondrous				COST:500			SOURCEPAGE:p.31
