# CVS $Revision$ $Author$ -- Fri Oct 19 20:16:09 2012 -- reformated by prettylst.pl v1.39 (build 15052)
SOURCELONG:Modern System Reference Document	SOURCESHORT:MSRD	SOURCEWEB:http://www.wizards.com/D20/article.asp?x=msrd	SOURCEDATE:2002-01

###Block: Ammunition

# Modifier Name	Unique Key			Type			Cost		Visible		Keys to replace																		Source Page		Special Property
Armor Piercing	KEY:ARMR_PIERCING		TYPE:Ammunition	COST:3	VISIBLE:QUALIFY	REPLACES:FLECHETTE_AMMO,FRANGIBLE_AMMO,HI_EXPLOSIVE,RUBBER_ROUND,SILVER_AMMO,SUBSONIC_AMMO,TRACER_AMMO,WHITE_PHOSPHOR	SOURCEPAGE:p.69	SPROP:+2 attack bonus against armor wearing opponents, Res(+2)
Flechette		KEY:FLECHETTE_AMMO	TYPE:Ammunition	COST:4	VISIBLE:QUALIFY	REPLACES:ARMR_PIERCING,FRANGIBLE_AMMO,HI_EXPLOSIVE,RUBBER_ROUND,SILVER_AMMO,SUBSONIC_AMMO,TRACER_AMMO,WHITE_PHOSPHOR	SOURCEPAGE:p.69	SPROP:-1 on attack rolls, improve critical threat range by 1, Mil(+3)
Frangible		KEY:FRANGIBLE_AMMO	TYPE:Ammunition	COST:2	VISIBLE:QUALIFY	REPLACES:ARMR_PIERCING,FLECHETTE_AMMO,HI_EXPLOSIVE,RUBBER_ROUND,SILVER_AMMO,SUBSONIC_AMMO,TRACER_AMMO,WHITE_PHOSPHOR	SOURCEPAGE:p.69	SPROP:+1 damage vs. unarmored targets, Res(+2)
High Explosive	KEY:HI_EXPLOSIVE		TYPE:Ammunition	COST:5	VISIBLE:QUALIFY	REPLACES:ARMR_PIERCING,FLECHETTE_AMMO,FRANGIBLE_AMMO,RUBBER_ROUND,SILVER_AMMO,SUBSONIC_AMMO,TRACER_AMMO,WHITE_PHOSPHOR	SOURCEPAGE:p.69	SPROP:1 extra die of damage, Mil(+3)
Rubber Round	KEY:RUBBER_ROUND		TYPE:Ammunition	COST:1	VISIBLE:QUALIFY	REPLACES:ARMR_PIERCING,FLECHETTE_AMMO,FRANGIBLE_AMMO,HI_EXPLOSIVE,SILVER_AMMO,SUBSONIC_AMMO,TRACER_AMMO,WHITE_PHOSPHOR	SOURCEPAGE:p.69	SPROP:nonlethal damage, Res(+2)
Silver		KEY:SILVER_AMMO		TYPE:Ammunition	COST:6	VISIBLE:QUALIFY	REPLACES:ARMR_PIERCING,FLECHETTE_AMMO,FRANGIBLE_AMMO,HI_EXPLOSIVE,RUBBER_ROUND,SUBSONIC_AMMO,TRACER_AMMO,WHITE_PHOSPHOR	SOURCEPAGE:p.69	SPROP:Silver
Subsonic		KEY:SUBSONIC_AMMO		TYPE:Ammunition	COST:4	VISIBLE:QUALIFY	REPLACES:ARMR_PIERCING,FLECHETTE_AMMO,FRANGIBLE_AMMO,HI_EXPLOSIVE,RUBBER_ROUND,SILVER_AMMO,TRACER_AMMO,WHITE_PHOSPHOR	SOURCEPAGE:p.70	SPROP:Damage -2, Range -20, Listen check DC +10 to hear the shot, MIL(+3)
Tracer		KEY:TRACER_AMMO		TYPE:Ammunition	COST:1	VISIBLE:QUALIFY	REPLACES:ARMR_PIERCING,FLECHETTE_AMMO,FRANGIBLE_AMMO,HI_EXPLOSIVE,RUBBER_ROUND,SILVER_AMMO,SUBSONIC_AMMO,WHITE_PHOSPHOR	SOURCEPAGE:p.70	SPROP:+1 to attack on autofire, +5 to be spotted by opponents, MIL(+3)
White Phosphorous	KEY:WHITE_PHOSPHOR	TYPE:Ammunition	COST:5	VISIBLE:QUALIFY	REPLACES:ARMR_PIERCING,FLECHETTE_AMMO,FRANGIBLE_AMMO,HI_EXPLOSIVE,RUBBER_ROUND,SILVER_AMMO,SUBSONIC_AMMO,TRACER_AMMO	SOURCEPAGE:p.70	SPROP:+1d6 fire damage, may catch fire, Mil(+3)

###Block: Clothing
# Modifier Name	Unique Key		Type			Cost		Visible		Source Page					Required Type		Special Property
Double-sided	KEY:DBL_SIDED	TYPE:Clothing	COST:1	VISIBLE:QUALIFY	SOURCEPAGE:ArcanaEquipment.rtf	PRETYPE:1,Clothing	SPROP:+2 equipment bonus on Disguise checks

#
# End
#
