# Wed Jul 21 15:49:49 2021 -- reformated by PCGen PrettyLST v6.08.00

# ------------------------------
# Dhampir
# ------------------------------

###Block: Racial Identifiers
# Name				Dataformat			Required	Selectable		Visible	Displayname			Explanation
FACTDEF:TEMPLATE|IsDhampir	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Dhampir	EXPLANATION:Determines whether the character is a Dhampir

###Block: Racial Traits
# Name							Dataformat			Required	Selectable		Visible	Displayname								Explanation
FACTDEF:ABILITY|Dhampir_ReplaceAbilityScores	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Dhampir Ability Scores		EXPLANATION:Replaces the Ability Scores
FACTDEF:ABILITY|Dhampir_ReplaceType			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Dhampir Type				EXPLANATION:Replaces the Dhampir Racial Trait
FACTDEF:ABILITY|Dhampir_ReplaceSize			DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Dhampir Size				EXPLANATION:Replaces the Medium Racial Trait
FACTDEF:ABILITY|Dhampir_ReplaceSpeed		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Dhampir Speed				EXPLANATION:Replaces the Normal Speed Racial Trait
FACTDEF:ABILITY|Dhampir_ReplaceVision		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Dhampir Senses				EXPLANATION:Replaces the Senses Racial Trait
FACTDEF:ABILITY|Dhampir_ReplaceSkilled		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Dhampir Manipulative			EXPLANATION:Replaces the Manipulative Racial Trait
FACTDEF:ABILITY|Dhampir_ReplaceUndeadResistance	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Dhampir Undead Resistance		EXPLANATION:Replaces the Undead Resistance Racial Trait
FACTDEF:ABILITY|Dhampir_ReplaceWeakness		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Dhampir Light Sensitivity		EXPLANATION:Replaces the Light Sensitivity Racial Trait
FACTDEF:ABILITY|Dhampir_ReplaceEnergyAffinity	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Dhampir Negative Energy Affinity	EXPLANATION:Replaces the Negative Energy Affinity Racial Trait
FACTDEF:ABILITY|Dhampir_ReplaceSpellLikeAbility	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Dhampir Spell-Like Ability		EXPLANATION:Replaces the Spell-Like Ability Racial Trait
FACTDEF:ABILITY|Dhampir_ReplaceResistLevelDrain	DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Dhampir Resist Level Drain		EXPLANATION:Replaces the Resist Level Drain Racial Trait
FACTDEF:ABILITY|Dhampir_ReplaceLanguages		DATAFORMAT:BOOLEAN	REQUIRED:NO	SELECTABLE:NO	VISIBLE:YES	DISPLAYNAME:Replace Dhampir Languages			EXPLANATION:Replaces the Languages Racial Trait
