# CVS $Revision: 21640 $ $Author: amaitland $ -- Tue Dec 15 01:48:08 2015 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Heroes of the Street	SOURCESHORT:HotS	SOURCEWEB:http://paizo.com/products/btpy9ghc?Pathfinder-Player-Companion-Heroes-of-the-Streets	SOURCEDATE:2015-10
# Original Entry By: Gwen T. (evilpixie87)

# ==============================
# Adventuring Kits
# ==============================

STARTPACK:Cat Burglar's Kit	TYPE:Adventuring Kit	APPLY:INSTANT	TOTALCOST:15
GEAR:Backpack (Masterwork)	QTY:1		SIZE:PC	LOCATION:Carried
GEAR:Glass Cutter			QTY:1		SIZE:PC	LOCATION:Backpack
GEAR:Glue Paper			QTY:5		SIZE:PC	LOCATION:Backpack
GEAR:Grappling Hook		QTY:1		SIZE:PC	LOCATION:Backpack
GEAR:Rope (Silk/50 ft)		QTY:1		SIZE:PC	LOCATION:Backpack

STARTPACK:Out-of-Towner's Kit	TYPE:Adventuring Kit	APPLY:INSTANT	TOTALCOST:55
GEAR:Blue Book			QTY:1		SIZE:PC	LOCATION:Carried
GEAR:City Map			QTY:1		SIZE:PC	LOCATION:Carried
GEAR:Fashionable Accessories	QTY:1		SIZE:PC	LOCATION:Carried

STARTPACK:Spycatcher's Kit	TYPE:Adventuring Kit	APPLY:INSTANT	TOTALCOST:260
GEAR:Antidote Kit			QTY:1		SIZE:PC	LOCATION:Carried
GEAR:Cryptography Book		QTY:1		SIZE:PC	LOCATION:Carried
GEAR:Litmus Strip			QTY:5		SIZE:PC	LOCATION:Carried
GEAR:Portrait Book		QTY:1		SIZE:PC	LOCATION:Carried

STARTPACK:Spy's Kit		TYPE:Adventuring Kit	APPLY:INSTANT	TOTALCOST:140
GEAR:Book of Letters		QTY:1		SIZE:PC	LOCATION:Carried
GEAR:Disguise Kit			QTY:1		SIZE:PC	LOCATION:Carried
GEAR:Hollow-Heeled Boot		QTY:1		SIZE:PC	LOCATION:Carried
GEAR:Ink (1 oz Vial)		QTY:1		SIZE:PC	LOCATION:Carried
GEAR:Inkpen				QTY:1		SIZE:PC	LOCATION:Carried
GEAR:Paper (Sheet)		QTY:10	SIZE:PC	LOCATION:Carried
GEAR:Ring (Poison Pill)		QTY:1		SIZE:PC	LOCATION:Carried
GEAR:Sealing Wax			QTY:1		SIZE:PC	LOCATION:Carried
GEAR:Invisible Ink (Simple)	QTY:3		SIZE:PC	LOCATION:Carried
GEAR:Wrist Sheath			QTY:1		SIZE:PC	LOCATION:Carried

STARTPACK:Watchman's Kit	TYPE:Adventuring Kit	APPLY:INSTANT	TOTALCOST:10
GEAR:Badge				QTY:1		SIZE:PC	LOCATION:Carried
GEAR:Flint and Steel		QTY:1		SIZE:PC	LOCATION:Carried
GEAR:Shield Sconce		QTY:1		SIZE:PC	LOCATION:Carried
GEAR:Signal Whistle		QTY:1		SIZE:PC	LOCATION:Carried
GEAR:Torch				QTY:10	SIZE:PC	LOCATION:Carried
