# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:41:29 2014 -- reformated by prettylst.pl v1.51 (build 24365)
SOURCELONG:Pathfinder Society	SOURCESHORT:PS	SOURCEWEB:http://paizo.com/pathfinderSociety	SOURCEDATE:2013-10
# Original Entry by: Stefan Radermacher

# Race Name					Type
Rat (Donkey).MOD				TYPE:PFSNotLegal
Spider (Drain).MOD			TYPE:PFSNotLegal
Fennec (Firefoot).MOD			TYPE:PFSNotLegal
Gecko (Giant).MOD				TYPE:PFSNotLegal
Shark (Jigsaw).MOD			TYPE:PFSNotLegal
Boar (Sargavan).MOD			TYPE:PFSNotLegal
Herd Animal (Storval Aurochs).MOD	TYPE:PFSNotLegal
Aluum.MOD					TYPE:PFSNotLegal
Calikang.MOD				TYPE:PFSNotLegal
Charau-ka.MOD				TYPE:PFSNotLegal
Daughter of Urgathoa.MOD		TYPE:PFSNotLegal
Sandpoint Devil.MOD			TYPE:PFSNotLegal
Dragon (Spine).MOD			TYPE:PFSNotLegal
Treerazer.MOD				TYPE:PFSNotLegal

Gillman.MOD					TYPE:PFSNotLegal
Strix.MOD					TYPE:PFSNotLegal
