# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:41:29 2014 -- reformated by prettylst.pl v1.51 (build 24365)
SOURCELONG:Pathfinder Society	SOURCESHORT:PS	SOURCEWEB:http://paizo.com/pathfinderSociety	SOURCEDATE:2013-10
# Original Entry by: Paul Shipley


# Equipment Name			Type
Charm of Aluum Control.MOD	TYPE:PFSNotLegal
Goz Mask.MOD			TYPE:PFSLegal
Mask of the Mantis.MOD		TYPE:PFSNotLegal
Unguent of Revivification.MOD	TYPE:PFSLegal
Wayfinder.MOD			TYPE:PFSLegal
Zoic Fetish (Mammal).MOD	TYPE:PFSLegal
Zoic Fetish (Bird).MOD		TYPE:PFSLegal
Zoic Fetish (Reptile).MOD	TYPE:PFSLegal
Zoic Fetish (Amphibian).MOD	TYPE:PFSLegal
Zoic Fetish (Fish).MOD		TYPE:PFSLegal
Final Blade.MOD			TYPE:PFSNotLegal
Sun Orchid Elixir.MOD		TYPE:PFSNotLegal
Wardstone.MOD			TYPE:PFSNotLegal
