# CVS $Revision: $ $Author: $ -- Thu Jul 10 13:41:29 2014 -- reformated by prettylst.pl v1.51 (build 24365)
SOURCELONG:Pathfinder Society	SOURCESHORT:PS	SOURCEWEB:http://paizo.com/pathfinderSociety	SOURCEDATE:2013-10
# Original Entry by: Stefan Radermacher & Paul Shipley

# Spell Name						Type
Ancestral Memory.MOD					TYPE:PFSLegal
Covetous Aura.MOD						TYPE:PFSLegal
Dirge of the Victorious Knights.MOD			TYPE:PFSLegal
Gorum's Armor.MOD						TYPE:PFSLegal
Harrowing.MOD						TYPE:PFSNotLegal
Infernal Healing.MOD					TYPE:PFSLegal
Infernal Healing (Greater).MOD			TYPE:PFSLegal
Interplanetary Teleport.MOD				TYPE:PFSNotLegal
Lover's Vengeance.MOD					TYPE:PFSLegal
Shield of the Dawnflower.MOD				TYPE:PFSLegal
Teleport Trap.MOD						TYPE:PFSNotLegal
Unbreakable Heart.MOD					TYPE:PFSLegal
Vermin Shape I.MOD					TYPE:PFSLegal
Vermin Shape II.MOD					TYPE:PFSLegal
Vision of Lamashtu.MOD					TYPE:PFSLegal
Waters of Lamashtu.MOD					TYPE:PFSLegal
Summon Mantis.MOD						TYPE:PFSLegal
Quickened Dispel Magic (Greater).MOD		TYPE:PFSLegal
Summon Demons (Nascent Demon Lord).MOD		TYPE:PFSLegal
Teleport (Greater/within Tanglebriar only).MOD	TYPE:PFSLegal
Animal Growth (Reptiles Only).MOD			TYPE:PFSLegal
Animal Shapes (Reptiles Only).MOD			TYPE:PFSLegal
