#  Sat May 18 14:56:38 2019 -- reformated by PCGen PrettyLST v6.08.00
# Weapon Name			Type
Dueling sword (converted)	TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Dueling sword (officer)		TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized
Dueling sword (admiral)		TYPE:S.Weapon.Melee.Weapon Group ~ Basic Melee Weapons.Basic Melee Weapons.Uncategorized

Trident (tactical)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Trident (sintered)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Trident (ultrathin)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Trident (molecular rift)	TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Trident (dimensional slice)	TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS

Phasic scythe (monophonic)	TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Phasic scythe (harmonic)	TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Phasic scythe (polyphonic)	TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Phasic scythe (multiphonic)	TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS

Heat-amp gauntlet (mk1)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Heat-amp gauntlet (mk2)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Heat-amp gauntlet (mk3)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Heat-amp gauntlet (mk4)		TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS

Velstrac flenser (ascetic)	TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Velstrac flenser (singer)	TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Velstrac flenser (debater)	TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
Velstrac flenser (recluse)	TYPE:ADVANCED MELEE.ADVANCED MELEE WEAPONS
