# CVS $Revision: 20121 $ $Author: zaister $ -- Sat Nov 23 14:46:39 2013 -- reformated by prettylst.pl v1.50 (build 22134)
SOURCELONG:Bestiary	SOURCESHORT:B1	SOURCEWEB:http://paizo.com/store/downloads/pathfinder/pathfinderRPG/v5748btpy8auu	SOURCEDATE:2009-10
# Original Entry by: Stefan Radermacher

# Language			Type
Aboleth			TYPE:Spoken.Written.Read
Boggard			TYPE:Spoken.Written.Read
Cyclops			TYPE:Spoken.Written.Read
Dark Folk			TYPE:Spoken.Written.Read
Drow				TYPE:Spoken.Written.Read
Drow Sign Language	TYPE:Spoken.Written.Read.Secret
Pidgin of Giant		TYPE:Spoken
Sahuagin			TYPE:Spoken.Written.Read
Sphinx			TYPE:Spoken.Written.Read
Tengu				TYPE:Spoken.Written.Read
Treant			TYPE:Spoken.Written.Read
Vegepygmy			TYPE:Spoken
Worg				TYPE:Spoken.Written.Read

SOURCELONG:Bestiary 2	SOURCESHORT:B2	SOURCEWEB:http://paizo.com/store/byCompany/p/paizoPublishingLLC/pathfinder/pathfinderRPG/v5748btpy8ddb	SOURCEDATE:2010-12

# ORIGINAL ENTRY: Douglas Limmer
# ORIGINAL ENTRY DATE: Unknown

# Language			Type
Daemon			TYPE:Spoken.Written.Read
D'ziriak			TYPE:Spoken.Written.Read
Grippli			TYPE:Spoken.Written.Read
Protean			TYPE:Spoken.Written.Read


Catfolk			TYPE:Spoken.Written.Read
Samsaran			TYPE:Spoken.Written.Read
Strix				TYPE:Spoken.Written.Read
Vanaran			TYPE:Spoken.Written.Read
Vishkanya			TYPE:Spoken.Written.Read
Wayang			TYPE:Spoken.Written.Read
