# This file determines level based benefits.

XPTABLE:Standard
LEVEL:1	MINXP:0		CSKILLMAX:1		CCSKILLMAX:1
LEVEL:2	MINXP:1300		CSKILLMAX:2		CCSKILLMAX:2
LEVEL:3	MINXP:3300		CSKILLMAX:3		CCSKILLMAX:3
LEVEL:4	MINXP:6000		CSKILLMAX:4		CCSKILLMAX:4
LEVEL:5	MINXP:10000		CSKILLMAX:5		CCSKILLMAX:5
LEVEL:6	MINXP:15000		CSKILLMAX:6		CCSKILLMAX:6
LEVEL:7	MINXP:23000		CSKILLMAX:7		CCSKILLMAX:7
LEVEL:8	MINXP:34000		CSKILLMAX:8		CCSKILLMAX:8
LEVEL:9	MINXP:50000		CSKILLMAX:9		CCSKILLMAX:9
LEVEL:10	MINXP:71000		CSKILLMAX:10	CCSKILLMAX:10
LEVEL:11	MINXP:105000	CSKILLMAX:11	CCSKILLMAX:11
LEVEL:12	MINXP:145000	CSKILLMAX:12	CCSKILLMAX:12
LEVEL:13	MINXP:210000	CSKILLMAX:13	CCSKILLMAX:13
LEVEL:14	MINXP:295000	CSKILLMAX:14	CCSKILLMAX:14
LEVEL:15	MINXP:425000	CSKILLMAX:15	CCSKILLMAX:15
LEVEL:16	MINXP:600000	CSKILLMAX:16	CCSKILLMAX:16
LEVEL:17	MINXP:850000	CSKILLMAX:17	CCSKILLMAX:17
LEVEL:18	MINXP:1200000	CSKILLMAX:18	CCSKILLMAX:18
LEVEL:19	MINXP:1700000	CSKILLMAX:19	CCSKILLMAX:18
LEVEL:20	MINXP:2400000	CSKILLMAX:20	CCSKILLMAX:20

LEVEL:LEVEL	MINXP:2400000+LEVEL-20	CSKILLMAX:LEVEL	CCSKILLMAX:LEVEL

