# CVS $Revision: 21670 $ $Author: amaitland $ -- Sat Nov 23 14:46:39 2013 -- reformated by prettylst.pl v1.50 (build 22134)
SOURCELONG:Bestiary 3	SOURCESHORT:B3	SOURCEWEB:http://paizo.com/products/btpy8odu?Pathfinder-Roleplaying-Game-Bestiary-3	SOURCEDATE:2012-01


# Language				Type
Adlet					TYPE:Spoken.Written.Read
Garuda				TYPE:Spoken.Written.Read
Girtablilu				TYPE:Spoken.Written.Read
Kech					TYPE:Spoken.Written.Read
Sasquatch				TYPE:Spoken.Written.Read
Shae					TYPE:Spoken.Written.Read
Tanuki				TYPE:Spoken.Written.Read
Thriae				TYPE:Spoken.Written.Read
Truespeech				TYPE:Spoken.Written.Read
Yithian				TYPE:Spoken.Written.Read

Aklo (cannot speak)		TYPE:Understand
Aquan (cannot speak)		TYPE:Understand
Auran (cannot speak)		TYPE:Understand
Common (cannot speak)		TYPE:Understand
Flail Snail (Cannot Speak)	TYPE:Understand
Infernal (cannot speak)		TYPE:Understand
Plantspeech (fungi)		TYPE:Spoken.Written.Read
Plantspeech (gourds)		TYPE:Spoken.Written.Read
Plantspeech (seaweed)		TYPE:Spoken.Written.Read
Plantspeech (trees)		TYPE:Spoken.Written.Read
Sylvan (cannot speak)		TYPE:Understand
