# CVS $Revision: 1.1 $ $Author: tir-gwaith $ -- Mon Jan 13 22:59:27 2003 -- reformated by prettylst.pl v1.24 (build 249)

AGESET:0|Adulthood
RACENAME:Aaleear		SEX:Male[BASEHT:22|HTDIEROLL:1d4|BASEWT:20|WTDIEROLL:1d3|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:20|HTDIEROLL:1d4|BASEWT:20|WTDIEROLL:1d2|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Aaleear=> AGE:30:1:4:1:6:2:6
RACENAME:Anaema		SEX:Male[BASEHT:58|HTDIEROLL:2d10|BASEWT:120|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:53|HTDIEROLL:2d10|BASEWT:85|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Anaema=> AGE:15:1:4:1:6:2:6
RACENAME:Artathi		SEX:Male[BASEHT:58|HTDIEROLL:2d10|BASEWT:120|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:53|HTDIEROLL:2d10|BASEWT:85|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Artathi=> AGE:15:1:4:1:6:2:6
RACENAME:Blickish		SEX:Male[BASEHT:32|HTDIEROLL:2d4|BASEWT:30|WTDIEROLL:1d1|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:30|HTDIEROLL:2d4|BASEWT:25|WTDIEROLL:1d1|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Blickish=> AGE:20:2:4:3:6:4:6
RACENAME:Coivald		SEX:Male[BASEHT:36|HTDIEROLL:2d6|BASEWT:60|WTDIEROLL:1d2|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:34|HTDIEROLL:2d6|BASEWT:60|WTDIEROLL:1d1|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Coivald=> AGE:25:2:4:3:6:4:6
RACENAME:Curst		SEX:Male[BASEHT:58|HTDIEROLL:2d10|BASEWT:120|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:53|HTDIEROLL:2d10|BASEWT:85|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Curst=> AGE:15:1:4:1:6:2:6
RACENAME:Eleti (Medium)	SEX:Male[BASEHT:58|HTDIEROLL:2d10|BASEWT:120|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:53|HTDIEROLL:2d10|BASEWT:85|WTDIEROLL:2d4|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Eleti (Medium)=> AGE:0:1:10:1:20:1:100
RACENAME:Eleti (Small)	SEX:Male[BASEHT:32|HTDIEROLL:2d4|BASEWT:30|WTDIEROLL:1d1|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:30|HTDIEROLL:2d4|BASEWT:25|WTDIEROLL:1d1|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Eleti (Small)=> AGE:0:1:10:1:20:1:100
RACENAME:Fairy		SEX:Male[BASEHT:3|HTDIEROLL:2d4|BASEWT:1|WTDIEROLL:0d1|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]Female[BASEHT:3|HTDIEROLL:2d4|BASEWT:1|WTDIEROLL:0d1|TOTALWT:BASEWT+(HTDIEROLL*WTDIEROLL)]
### Old tag for race Fairy=> AGE:0:1:10:1:20:1:100
