# CVS $Revision$ $Author$ -- Sat Mar 15 18:55:04 2008 -- reformated by prettylst.pl v1.38 (build 5225)
SOURCELONG:Fantasy Flight Games - Mythic Races	SOURCESHORT:MythicRace	SOURCEWEB:http://www.fantasyflightgames.com/ll.html

# Skill Name		Key Stat	Untrained?		Exclusive?		Classes		Type				Required Class			Source Page
Perform (Chant)		KEYSTAT:CHA							CLASSES:Bard	TYPE:Charisma.Perform						SOURCEPAGE:p.8
Herald's Intuition	KEYSTAT:WIS	USEUNTRAINED:NO	EXCLUSIVE:YES				TYPE:Wisdom.Rhonian	PRECLASS:1,Rhonian Emissary=1	SOURCEPAGE:p.113

###Block: Changed Skills
# Skill Name			Type				Required Race
Control Shape.MOD							PRERACE:1,Mhuinntir,Rezurbek
Perform.MOD				TYPE:Charisma.Perform
Craft (Basketweaving).MOD	TYPE:Art
Craft (Bookbinding).MOD		TYPE:Art
Craft (Bowmaking).MOD		TYPE:Art
Craft (Calligraphy).MOD		TYPE:Art
Craft (Carpentry).MOD		TYPE:Art
Craft (Cobbling).MOD		TYPE:Art
Craft (Gemcutting).MOD		TYPE:Art
Craft (Leatherworking).MOD	TYPE:Art
Craft (Painting).MOD		TYPE:Art
Craft (Pottery).MOD		TYPE:Art
Craft (Sculpture).MOD		TYPE:Art
Craft (Stoneworking).MOD	TYPE:Art
Craft (Weaving).MOD		TYPE:Art
