# CVS $Revision$ $Author$ -- Thu Nov  6 15:54:09 2008 -- reformated by prettylst.pl v1.38 (build 8180)
SOURCELONG:Mongoose Publishing - Encyclopaedia Arcane - Enchantment	SOURCESHORT:Enchantment	SOURCEWEB:http://mongoosepublishing.com	SOURCEDATE:2003-09
#ITEM:Potion tag added by: Paul "Yes, that Paul" Grosse

# Spell Name		Classes of caster	School			Sub-School		Type		Components		Casting Time	Range			Item		Target Area or Effect											Duration						Save Info					Spell Resistance	Description										Source Page
Beyond Words		CLASSES:Wizard=3	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:Your Charmed Creature									DURATION:Varies [D]				SAVEINFO:None				SPELLRES:Yes	DESC:Caster can communicate mentally with charmed target.		SOURCEPAGE:p.27
Bonded Souls		CLASSES:Wizard=7	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S		CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:Your Charmed Creature									DURATION:Special [D]				SAVEINFO:None				SPELLRES:Yes	DESC:Bonds a charmed creature like a familiar.				SOURCEPAGE:p.27
Bonded Thoughts		CLASSES:Wizard=7	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S		CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:Your Charmed Creature									DURATION:Special [D]				SAVEINFO:None				SPELLRES:Yes	DESC:Enables telepathic communication.					SOURCEPAGE:p.27
Camaraderie			CLASSES:Wizard=5	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, F	CASTTIME:1 action	RANGE:Same Plane	ITEM:Potion	TARGETAREA:Your Charmed Creature									DURATION:Instantaneous				SAVEINFO:None				SPELLRES:Yes	DESC:+1 morale bonus to attack and damage while within LOS.		SOURCEPAGE:p.28
Change of Heart		CLASSES:Wizard=9	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, F	CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One Living Creature									DURATION:Special [D]				SAVEINFO:Will Negates			SPELLRES:Yes	DESC:Target's alignment changet to match the caster's.		SOURCEPAGE:p.28
Confidante			CLASSES:Wizard=3	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S		CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:Your Charmed Creature									DURATION:Varies [D]				SAVEINFO:None				SPELLRES:Yes	DESC:Target treats the caster as as a trusted friend.			SOURCEPAGE:p.29
Dazing Aura			CLASSES:Wizard=5	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Personal			TARGETAREA:You												DURATION:(CASTERLEVEL*2) rounds [D]		SAVEINFO:Will Negates			SPELLRES:Yes	DESC:Wards one melee or spell attack.					SOURCEPAGE:p.29
Dolorous Touch		CLASSES:Wizard=4	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S		CASTTIME:1 action	RANGE:Touch		ITEM:Potion	TARGETAREA:One living creature of large size or less with fewer Hp than caster	DURATION:(max(CASTERLEVEL,10)) hours [D]	SAVEINFO:Will Negates			SPELLRES:Yes	DESC:Target falls into a deep slumber.					SOURCEPAGE:p.30
Enamouring Touch		CLASSES:Wizard=6	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V, S, M	CASTTIME:1 action	RANGE:Personal			TARGETAREA:You												DURATION:(CASTERLEVEL) rounds [D]		SAVEINFO:Will Negates			SPELLRES:Yes	DESC:Affect targets as a potion of love &lbracket;or jealousy&rbracket;.		SOURCEPAGE:p.30
Endless Daze		CLASSES:Wizard=8	SCHOOL:Enchantment	SUBSCHOOL:None	TYPE:Arcane	COMPS:V		CASTTIME:1 action	RANGE:Close		ITEM:Potion	TARGETAREA:One Living Creature									DURATION:Permanent [D]				SAVEINFO:Will Partial			SPELLRES:Yes	DESC:Permanent Lingering Daze spell.					SOURCEPAGE:p.31
