# CVS $Revision$ $Author$ -- Wed Dec  3 12:59:23 2014 -- reformated by prettylst.pl v1.51 (build 25490)
#SOURCELONG:Psionics Unleashed	SOURCESHORT:PsU
# Original Entry by: Douglas Limmer
# SRD Original Entry by: Eddy Anthony

###Block: Bonus Feat ability pools
# Ability Category				Visible		Editable?		Change Pool?	Fractional values?	Category of Object		Type of Object						Plural description for UI		Display Location
ABILITYCATEGORY:Naturally Psionic Feat	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:NaturallyPsionicFeat				PLURAL:Naturally Psionic Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Psion Feat			VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Psionic.Metapsionic.ItemCreation		PLURAL:Psion Feats			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Generalist Psion Feat	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Metapsionic.ItemCreation.ExpandedKnowledge	PLURAL:Generalist Psion Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Psychic Warrior Feat	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Psionic.Combat					PLURAL:Psychic Warrior Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Soulknife Feat		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Special Ability	TYPE:SoulknifeFeat					PLURAL:Soulknife Feats			DISPLAYLOCATION:Feats
ABILITYCATEGORY:Artificer's Surge Feat	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:ItemCreation						PLURAL:Artificer's Surge Feats	DISPLAYLOCATION:Feats
ABILITYCATEGORY:Student's Surge Feat	VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:StudentSurge						PLURAL:Student's Surge Feats		DISPLAYLOCATION:Feats
ABILITYCATEGORY:Psychic Fist Feat		VISIBLE:QUALIFY	EDITABLE:YES	EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:Psionic						PLURAL:Psychic Fist Feats		DISPLAYLOCATION:Feats

###Block: Class Skill ability pools
# Ability Category					Visible		Editable?		Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI			Display Location
