# CVS $Revision$ $Author$ -- Wed Feb 18 10:52:57 2009 -- reformated by prettylst.pl v1.39 (build 9329)
# SOURCELONG:Blood and Guts - Soldiers	SOURCESHORT:BnG-S	SOURCEWEB:http://www.rpgobjects.com/index.php?page=pro&product_id=49


# Ability Category						Visible		Editable or Static?	Change Pool?	Fractional values?	Category of Object		Type of Object			Plural description for UI				Display Location
ABILITYCATEGORY:Basic Training Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:Military_Skills		PLURAL:Basic Training Skills				DISPLAYLOCATION:Feats

ABILITYCATEGORY:MOS Administrative Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:AdministrativeSkills	PLURAL:MOS Administrative Skills			DISPLAYLOCATION:Feats
ABILITYCATEGORY:MOS Administrative Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:AdministrativeFeat		PLURAL:MOS Administrative Feats			DISPLAYLOCATION:Feats

ABILITYCATEGORY:MOS Air Defense Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:AirDefenseSkills		PLURAL:MOS Air Defense Skills				DISPLAYLOCATION:Feats
ABILITYCATEGORY:MOS Air Defense Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:AirDefenseFeat		PLURAL:MOS Air Defense Feats				DISPLAYLOCATION:Feats

ABILITYCATEGORY:MOS Legal Services Skills			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:LegalServicesSkills	PLURAL:MOS Legal Services Skills			DISPLAYLOCATION:Feats
ABILITYCATEGORY:MOS Legal Services Feat			VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:LegalServicesFeat		PLURAL:MOS Legal Services Feats			DISPLAYLOCATION:Feats

ABILITYCATEGORY:MOS Recruiting and Retention Skills	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:RecruitingSkills		PLURAL:MOS Recruiting and Retention Skills	DISPLAYLOCATION:Feats
ABILITYCATEGORY:MOS Recruiting and Retention Feat	VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:RecruitingFeat		PLURAL:MOS Recruiting and Retention Feats		DISPLAYLOCATION:Feats

ABILITYCATEGORY:MOS Religious Services Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:ReligiousSkills		PLURAL:MOS Religious Services Skills		DISPLAYLOCATION:Feats
ABILITYCATEGORY:MOS Religious Services Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:ReligiousFeat		PLURAL:MOS Religious Services Feats			DISPLAYLOCATION:Feats

ABILITYCATEGORY:MOS Supply and Logistics Skills		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:Starting Occupation	TYPE:SupplySkills			PLURAL:MOS Supply and Logistics Skills		DISPLAYLOCATION:Feats
ABILITYCATEGORY:MOS Supply and Logistics Feat		VISIBLE:QUALIFY	EDITABLE:YES		EDITPOOL:YES	FRACTIONALPOOL:NO		CATEGORY:FEAT			TYPE:SupplyFeat			PLURAL:MOS Supply and Logistics Feats		DISPLAYLOCATION:Feats
