# CVS $Revision$ $Author$ -- Wed Aug  6 13:06:09 2008 -- reformated by prettylst.pl v1.38 (build 7233)
SOURCELONG:Malhavoc Press - Book of Eldritch Might II	SOURCESHORT:BoEM2	SOURCEWEB:http://www.montecook.com

###Block:Armor
# Modifier Name		Unique Key				Type			Plus		Source Page		Required Type					Bonus Armor Modifiers
Grace				KEY:BEMII_GRACE			TYPE:Armor.Shield	PLUS:1	SOURCEPAGE:p.53	PRETYPE:1,EQMODTYPE=MagicalEnhancement	BONUS:EQMARMOR|MAXDEX|50
Superior Spellcasting	KEY:BEMII_SUP_SPELLCASTING	TYPE:Armor.Shield	PLUS:4	SOURCEPAGE:p.53	PRETYPE:1,EQMODTYPE=MagicalEnhancement	BONUS:EQMARMOR|SPELLFAILURE|-100
Spellcasting		KEY:BEMII_SPELLCASTING		TYPE:Armor.Shield	PLUS:2	SOURCEPAGE:p.53	PRETYPE:1,EQMODTYPE=MagicalEnhancement	BONUS:EQMARMOR|SPELLFAILURE|-15

# following two are incomplete :
Maneuvering			KEY:BEMII_MANEUVERING		TYPE:Armor.Shield	PLUS:1	SOURCEPAGE:p.53	PRETYPE:1,EQMODTYPE=MagicalEnhancement	BONUS:EQMARMOR|ACCHECK|2
Greater Maneuvering	KEY:BEMII_GRTR_MANEUVERING	TYPE:Armor.Shield	PLUS:2	SOURCEPAGE:p.53	PRETYPE:1,EQMODTYPE=MagicalEnhancement	BONUS:EQMARMOR|ACCHECK|40

###Block:Weapon
# Modifier Name	Unique Key			Type		Plus		Source Page		Required Type						Special Property
Karmic		KEY:BEMII_KARMIC		TYPE:Weapon	PLUS:1	SOURCEPAGE:p.53	PRETYPE:1,EQMODTYPE=MagicalEnhancement		SPROP:+2 att/dam for one attack following successful strike, -1 att for one attack following miss
Knockback		KEY:BEMII_KNOCKBACK	TYPE:Weapon	PLUS:1	SOURCEPAGE:p.53	PRETYPE:2,EQMODTYPE=MagicalEnhancement,Ranged	SPROP:Any creature struck by weapon must make Str DC 20 check or be knocked back 5 feet.
