# CVS $Revision$ $Author$ -- Wed Jan 28 22:41:02 2009 -- reformated by prettylst.pl v1.39 (build 9132)
SOURCELONG:Pathfinder RPG (Beta Playtest Edition)	SOURCESHORT:PFRPGB	SOURCEWEB:http://paizo.com/store/downloads/pathfinderRPG/v5748btpy84o0	SOURCEDATE:2008-08
# Original Entry by: Stefan Radermacher

###Block: Barbarian abilities
# Ability Name								Clear Description	Description
CATEGORY=Special Ability|Damage Reduction ~ Barbarian.MOD	DESC:.CLEAR		DESC:You gain damage reduction. Substract %1 from the damage you take each time you are dealt damage from a weapon or natural attack. Damage reduction can reduce damage to 0 but not below 0.|BarbarianDR
CATEGORY=Special Ability|Fast Movement.MOD			DESC:.CLEAR		DESC:Your land speed is faster than the norm for your race by +10 feet. This benefit applies only when you are wearing no armor, light armor, or medium armor, and not carrying a heavy load. Apply this bonus before modifying your speed because of any load carried or armor worn.
CATEGORY=Special Ability|Indomitable Will.MOD			DESC:.CLEAR		DESC:While in rage, you gain a +4 bonus on Will saves to resist enchantment spells. This bonus stacks with all other modifiers, including the morale bonus on Will saves you also receive during your rage.
CATEGORY=Special Ability|Rage.MOD					DESC:.CLEAR		DESC:While in rage, you gain a +4 bonus to Strength and Constitution, as well as a +2 morale bonus on Will saves. In addition, you take a -2 penalty to Armor Class. The increase to Constitution grants you %1 hit points, but these disappear when the rage ends and are not lost first like temporary hit points While in rage, you cannot use any Charisma-, Dexterity-, or Intelligence-based skills (except Acrobatics, Fly, Intimidate, and Ride) or any ability that requires patience or concentration. You can end your rage as a free action and are fatigued for a number of rounds equal to two times the number of points spent during the rage. You cannot enter a new rage while fatigued. (Cost: 1 rage point/round)|2*TL
CATEGORY=Special Ability|Greater Rage.MOD				DESC:.CLEAR		DESC:When you enter rage, you can choose to enter a greater rage. The bonus to your Strength and Constitution increases to +6 and the morale bonus to your Will saves increases to +3. (Cost: 2 rage points/round)
CATEGORY=Special Ability|Mighty Rage.MOD				DESC:.CLEAR		DESC:When you enter rage, you can choose to enter mighty rage. The bonus to your Strength and Constitution increases to +8 and the morale bonus to your Will saves increases to +4. (Cost: 3 rage points/round)
CATEGORY=Special Ability|Tireless Rage.MOD			DESC:.CLEAR		DESC:You no longer become fatigued at the end of your rage.

###Block: Barbarian Rage Powers
# Ability Name					Clear Description	Description
