# CVS $Revision$ $Author$ -- Sat Aug 16 02:58:51 2008 -- reformated by prettylst.pl v1.38 (build 7302)
SOURCELONG:Pathfinder RPG (Beta Playtest Edition)	SOURCESHORT:PFRPGB	SOURCEWEB:http://paizo.com/store/downloads/pathfinderRPG/v5748btpy84o0	SOURCEDATE:2008-08
# Original Entry by: Stefan Radermacher

#everyone's language
# Language	Type
Common	TYPE:Spoken.Written.Read

# racial languages (base races)
Dwarven	TYPE:Spoken.Written.Read
Elven		TYPE:Spoken.Written.Read
Gnome		TYPE:Spoken.Written.Read
Halfling	TYPE:Spoken.Written.Read

# other racial languages
Abyssal	TYPE:Spoken
Celestial	TYPE:Spoken
Draconic	TYPE:Spoken
Druidic	TYPE:Spoken
Elemental	TYPE:Spoken
Giant		TYPE:Spoken
Gnoll		TYPE:Spoken
Goblin	TYPE:Spoken
Infernal	TYPE:Spoken
Orc		TYPE:Spoken
Sylvan	TYPE:Spoken
Undercommon	TYPE:Spoken
