# CVS $Revision$ $Author$ -- Wed Jan 28 22:41:02 2009 -- reformated by prettylst.pl v1.39 (build 9132)
SOURCELONG:Pathfinder RPG (Beta Playtest Edition)	SOURCESHORT:PFRPGB	SOURCEWEB:http://paizo.com/store/downloads/pathfinderRPG/v5748btpy84o0	SOURCEDATE:2008-08
# Original RSRD Entry by: PCGen Data Team
# Original Entry by: Stefan Radermacher

###Block: Creature Abilities
# Ability Name				Clear Description	Description
CATEGORY=Special Ability|Pounce.MOD	DESC:.CLEAR		DESC:When you make a charge, you can follow with a full attack
CATEGORY=Special Ability|Scent.MOD	DESC:.CLEAR		DESC:You can detect approaching enemies, sniff out hidden foes, and track by sense of smell within a range of %1 feet.|ScentRang

###Block: Energy Immunities
# Ability Name							Clear Description	Description
CATEGORY=Special Ability|Immunity to Acid.MOD		DESC:.CLEAR		DESC:You never take acid damage.
CATEGORY=Special Ability|Immunity to Cold.MOD		DESC:.CLEAR		DESC:You never take cold damage.
CATEGORY=Special Ability|Immunity to Fire.MOD		DESC:.CLEAR		DESC:You never take fire damage.
CATEGORY=Special Ability|Immunity to Electricity.MOD	DESC:.CLEAR		DESC:You never take electricity damage.
CATEGORY=Special Ability|Immunity to Sonic.MOD		DESC:.CLEAR		DESC:You never take sonic damage.

###Block: Other Immunities
# Ability Name									Clear Description	Description
CATEGORY=Special Ability|Immunity to Mind-Affecting Effects.MOD	DESC:.CLEAR		DESC:You are never affected by mind-affecting effects.
CATEGORY=Special Ability|Immunity to Disease.MOD			DESC:.CLEAR		DESC:You are never affected by diseases.
CATEGORY=Special Ability|Immunity to Exhaustion.MOD			DESC:.CLEAR		DESC:You can never be exhausted.
CATEGORY=Special Ability|Immunity to Fatigue.MOD			DESC:.CLEAR		DESC:You can never be fatigued.
CATEGORY=Special Ability|Immunity to Flanking.MOD			DESC:.CLEAR		DESC:You can never be flanked.
CATEGORY=Special Ability|Immunity to Pain Effects.MOD			DESC:.CLEAR		DESC:You are never affected by pain effects.
CATEGORY=Special Ability|Immunity to Paralysis.MOD			DESC:.CLEAR		DESC:You can never be paralyzed.
CATEGORY=Special Ability|Immunity to Poison.MOD				DESC:.CLEAR		DESC:You never take poison damage.
CATEGORY=Special Ability|Immunity to Sleep.MOD				DESC:.CLEAR		DESC:You are never subject to sleep effects.
CATEGORY=Special Ability|Immunity to Stunning.MOD			DESC:.CLEAR		DESC:You can never be stunned.

###Block: Energy Resistances Output
# Ability Name									Clear Description	Description
CATEGORY=Special Ability|Resistance to Acid Output.MOD		DESC:.CLEAR		DESC:You may ignore %1 points of Acid damage each time you take acid damage.|AcidResistanceBonus
CATEGORY=Special Ability|Resistance to Cold Output.MOD		DESC:.CLEAR		DESC:You may ignore %1 points of Cold damage each time you take cold damage.|ColdResistanceBonus
CATEGORY=Special Ability|Resistance to Fire Output.MOD		DESC:.CLEAR		DESC:You may ignore %1 points of Fire damage each time you take fire damage.|FireResistanceBonus
CATEGORY=Special Ability|Resistance to Electricity Output.MOD	DESC:.CLEAR		DESC:You may ignore %1 points of Electricity damage each time you take electricity damage.|ElectricityResistanceBonus
CATEGORY=Special Ability|Resistance to Sonic Output.MOD		DESC:.CLEAR		DESC:You may ignore %1 points of Sonic damage each time you take sonic damage.|SonicResistanceBonus

###Block: Energy Vulnerabilities
# Ability Name								Clear Description	Description
CATEGORY=Special Ability|Vulnerability to Acid.MOD		DESC:.CLEAR		DESC:You take half again as much (+50%%) damage as normal from acid, regardless of whether a saving throw is allowed, or if the save is a success or failure
CATEGORY=Special Ability|Vulnerability to Cold.MOD		DESC:.CLEAR		DESC:You take half again as much (+50%%) damage as normal from cold, regardless of whether a saving throw is allowed, or if the save is a success or failure
CATEGORY=Special Ability|Vulnerability to Fire.MOD		DESC:.CLEAR		DESC:You take half again as much (+50%%) damage as normal from fire, regardless of whether a saving throw is allowed, or if the save is a success or failure
CATEGORY=Special Ability|Vulnerability to Electricity.MOD	DESC:.CLEAR		DESC:You take half again as much (+50%%) damage as normal from electricity, regardless of whether a saving throw is allowed, or if the save is a success or failure
CATEGORY=Special Ability|Vulnerability to Sonic.MOD		DESC:.CLEAR		DESC:You take half again as much (+50%%) damage as normal from sonic, regardless of whether a saving throw is allowed, or if the save is a success or failure

