# CVS $Revision: 12254 $ $Author: eddyanthony $ -- Thu Feb  3 10:53:53 2011 -- reformated by prettylst.pl v1.39 (build 11455)
SOURCELONG:Inner Sea World Guide	SOURCESHORT:ISWG	SOURCEWEB:http://paizo.com/store/games/roleplayingGames/p/pathfinderRPG/paizo/pathfinderChronicles/v5748btpy8ief	SOURCEDATE:2011-03
# Original Entry by:Stefan Radermacher

###Block: Human Ethnicities
# Template Name			Visible	Source Page		Subrace
Human Ethnicity (Azlanti)	VISIBLE:NO	SOURCEPAGE:p.12	SUBRACE:Azlanti
Human Ethnicity (Chelaxian)	VISIBLE:NO	SOURCEPAGE:p.13	SUBRACE:Chelaxian
Human Ethnicity (Garundi)	VISIBLE:NO	SOURCEPAGE:p.14	SUBRACE:Garundi
Human Ethnicity (Keleshite)	VISIBLE:NO	SOURCEPAGE:p.15	SUBRACE:Keleshite
Human Ethnicity (Kellid)	VISIBLE:NO	SOURCEPAGE:p.16	SUBRACE:Kellid
Human Ethnicity (Mwangi)	VISIBLE:NO	SOURCEPAGE:p.17	SUBRACE:Mwangi
Human Ethnicity (Shoanti)	VISIBLE:NO	SOURCEPAGE:p.18	SUBRACE:Shoanti
Human Ethnicity (Taldan)	VISIBLE:NO	SOURCEPAGE:p.19	SUBRACE:Taldan
Human Ethnicity (Tian)		VISIBLE:NO	SOURCEPAGE:p.20	SUBRACE:Tian
Human Ethnicity (Ulfen)		VISIBLE:NO	SOURCEPAGE:p.21	SUBRACE:Ulfen
Human Ethnicity (Varisian)	VISIBLE:NO	SOURCEPAGE:p.22	SUBRACE:Varisian
Human Ethnicity (Vudrani)	VISIBLE:NO	SOURCEPAGE:p.23	SUBRACE:Vudrani

###Block: Regional Affinities
# Template Name					Visible	Source Page		Bonus Languages					Region
Regional Affinity (Absalom)			VISIBLE:NO	SOURCEPAGE:p.38	LANGBONUS:Kelish,Osiriani			REGION:Absalom
Regional Affinity (Andoran)			VISIBLE:NO	SOURCEPAGE:p.42								REGION:Andoran
Regional Affinity (Belkzen)			VISIBLE:NO	SOURCEPAGE:p.46	LANGBONUS:Orc					REGION:Hold of Belkzen
Regional Affinity (Brevoy)			VISIBLE:NO	SOURCEPAGE:p.50	LANGBONUS:Draconic,Hallit,Skald,Varisian	REGION:Brevoy
Regional Affinity (Cheliax)			VISIBLE:NO	SOURCEPAGE:p.54	LANGBONUS:Infernal				REGION:Cheliax
Regional Affinity (Darklands)			VISIBLE:NO	SOURCEPAGE:p.58	LANGBONUS:Aklo,Undercommon			REGION:The Darklands
Regional Affinity (Druma)			VISIBLE:NO	SOURCEPAGE:p.62	LANGBONUS:Dwarven					REGION:Druma
Regional Affinity (Five Kings Mountains)	VISIBLE:NO	SOURCEPAGE:p.66	LANGBONUS:Dwarven					REGION:Five Kings Mountains
Regional Affinity (Galt)			VISIBLE:NO	SOURCEPAGE:p.70	LANGBONUS:Hallit					REGION:Galt
Regional Affinity (Geb)				VISIBLE:NO	SOURCEPAGE:p.74	LANGBONUS:Kelish,Osiriani			REGION:Geb
Regional Affinity (Irrisen)			VISIBLE:NO	SOURCEPAGE:p.78	LANGBONUS:Hallit,Skald				REGION:Irrisen
Regional Affinity (Isger)			VISIBLE:NO	SOURCEPAGE:p.82								REGION:Isger
Regional Affinity (Jalmeray)			VISIBLE:NO	SOURCEPAGE:p.86	LANGBONUS:Vudrani					REGION:Jalmeray
Regional Affinity (Katapesh)			VISIBLE:NO	SOURCEPAGE:p.90	LANGBONUS:Kelish,Osiriani,Tien,Vudrani	REGION:Katapesh
