# CVS $Revision: 3819 $ $Author: amaitland $ -- Fri Nov 20 23:47:57 2009 -- reformated by prettylst.pl v1.39 (build 10232)
SOURCELONG:PCGen Enhancement Re-namer	SOURCESHORT:PCGen RNM	SOURCEWEB:http://pcgen.sourceforge.net/

# Original Entry by: Eddy Anthony

# Modifier Name	Naming Format
PLUS1W.MOD		FORMATCAT:FRONT
PLUS2W.MOD		FORMATCAT:FRONT
PLUS3W.MOD		FORMATCAT:FRONT
PLUS4W.MOD		FORMATCAT:FRONT
PLUS5W.MOD		FORMATCAT:FRONT

PLUS1S.MOD		FORMATCAT:FRONT
PLUS2S.MOD		FORMATCAT:FRONT
PLUS3S.MOD		FORMATCAT:FRONT
PLUS4S.MOD		FORMATCAT:FRONT
PLUS5S.MOD		FORMATCAT:FRONT

PLUS1A.MOD		FORMATCAT:FRONT
PLUS2A.MOD		FORMATCAT:FRONT
PLUS3A.MOD		FORMATCAT:FRONT
PLUS4A.MOD		FORMATCAT:FRONT
PLUS5A.MOD		FORMATCAT:FRONT

#
# End
#
