# CVS $Revision: $ $Author: $ -- Fri Oct 20 19:33:19 2017 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:Seekers of Secrets - A Guide to the Pathfinder Society	SOURCESHORT:SOS	SOURCEWEB:http://paizo.com/products/btpy8az2?Pathfinder-Chronicles-Seekers-of-Secrets-A-Guide-to-the-Pathfinder-Society	SOURCEDATE:2009-10
# Original Entry by: Paul Shipley

# Ioun Stone equipmods
# Modifier Name						Unique Key								Naming Option	Type					Visible		Type granted		Prohibited Type					Bonus to skill					Special Property																																													Choose									Auto Weapon Prof
|Ioun Knowledge Bonus					KEY:IOUN_KNOWLEDGE_BONUS					NAMEOPT:NONAME	TYPE:Ioun Knowledge Bonus	VISIBLE:QUALIFY												BONUS:SKILL|%CHOICE|5|TYPE=Competence	SPROP:Grants +5 competence bonus in %CHOICE																																								CHOOSE:SKILL|TYPE=Knowledge|TITLE=Enhanced Knowledge Skill
|Ioun Weapon Proficiency				KEY:IOUN_WEAPON_PROFICIENCY					NAMEOPT:NONAME	TYPE:Ioun Weapon Proficiency	VISIBLE:QUALIFY																			SPROP:Grants proficiency in %LIST																																										CHOOSE:WEAPONPROFICIENCY|ANY						AUTO:WEAPONPROF|%LIST
#elro - CHANGEPROF:%LIST throws a parse error :-(
#|Ioun Weapon Familiarity	KEY:IOUN_WEAPON_FAMILIARITY	NAMEOPT:NONAME	TYPE:Ioun Weapon Familiarity	VISIBLE:QUALIFY	CHANGEPROF:%LIST=Martial				SPROP:Treat %LIST as a martial weapon	CHOOSE:WEAPONPROFICIENCY|TYPE.Exotic
|Ioun Weapon Familiarity				KEY:IOUN_WEAPON_FAMILIARITY					NAMEOPT:NONAME	TYPE:Ioun Weapon Familiarity	VISIBLE:QUALIFY																			SPROP:Treat %LIST as a martial weapon																																									CHOOSE:WEAPONPROFICIENCY|TYPE=Exotic
|Ioun Mindborer						KEY:IOUN_MINDBORER									TYPE:Ioun				VISIBLE:QUALIFY																			SPROP:Deals 1hp of damage to user/round of combat, and bores into the user's head if you sleep or fall unconscious

# Resonant Powers
Resonant Power: Agate Ellipsoid			KEY:IOUN_RESONANT_POWER_AGATE_ELLIPSOID			NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: Increases the caster level of divination spells by 1.
Resonant Power: Amber Spindle				KEY:IOUN_RESONANT_POWER_AMBER_SPINDLE			NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: 5% chance per Reflex saving throw of granting the wearer evasion against that effect; bonuses from multiple amber spindles stack.
Resonant Power: Amethyst Ellipsoid			KEY:IOUN_RESONANT_POWER_AMETHYST_ELLIPSOID		NAMEOPT:NONAME	TYPE:Ioun				VISIBLE:QUALIFY	ITYPE:IounResonantPower	!PRETYPE:1,EQMODTYPE=IounResonantPower								SPROP:Resonant Power: +2 circumstance bonus on Stealth checks against undead.
