# CVS $Revision$ $Author$ -- Tue Dec 15 01:48:08 2015 -- reformated by PCGen PrettyLST v6.06.00
SOURCELONG:RPGObjects - Darwin's World - Artifacts of the Ancients	SOURCESHORT:ArtifactsA	SOURCEWEB:http://www.darwinrpg.com	SOURCEDATE:2001-01
# Original entry by wizofice2001

# General: These are all workarounds for EQUIP (CBI and Manuals)
# Manuals: all require Language (Ancient) to be readable

# No Computer.Spoken skills present. No source manual to look at. Removed the Computer. These just make zero sense.

# Feat Name						Type			Required Item							Required Language	Description				Multiple?	Choose				Bonus to skill		Class Skill						Source Page
# Ability Name					Category of Ability	Type			Required Item							Required Language	Description				Multiple?	Choose				Bonus to skill		Class Skill						Source Page
CBI (Education/Speak Language/Computer)	CATEGORY:FEAT		TYPE:Special	PREITEM:1,CBI (Education Speak Language/Computer)				DESC:Internal for CBI.		MULT:YES	CHOOSE:SKILL|TYPE=Language	BONUS:SKILL|LIST|2								SOURCEPAGE:pp.61-63
Manual (Climb)					CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Climb)					PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Climb					SOURCEPAGE:pp.61-63
Manual (Craft Cybernetics)			CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Craft Cybernetics)			PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Craft (Cybernetics)			SOURCEPAGE:pp.61-63
Manual (Craft Electrician)			CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Craft Electrician)			PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Craft (Electrician)			SOURCEPAGE:pp.61-63
Manual (Craft Mechanics)			CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Craft Mechanics)				PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Craft (Mechanics)			SOURCEPAGE:pp.61-63
Manual (Craft Robotics)				CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Craft Robotics)				PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Craft (Robotics)				SOURCEPAGE:pp.61-63
Manual (Craft Technician)			CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Craft Technician)				PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Craft (Technician)			SOURCEPAGE:pp.61-63
Manual (Craft Weaponsmithing)			CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Craft Weaponsmithing)			PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Craft (Weaponsmithing)			SOURCEPAGE:pp.61-63
Manual (Decipher Script)			CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Decipher Script)				PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Decipher Script				SOURCEPAGE:pp.61-63
Manual (Disable Device)				CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Disable Device)				PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Disable Device				SOURCEPAGE:pp.61-63
Manual (Disguise)					CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Disguise)					PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Disguise					SOURCEPAGE:pp.61-63
Manual (Forgery)					CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Forgery)					PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Forgery					SOURCEPAGE:pp.61-63
Manual (Heal)					CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Heal)						PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Heal						SOURCEPAGE:pp.61-63
Manual (Knowledge Ancient Lore)		CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Knowledge Ancient Lore)			PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Knowledge (Ancient Lore)		SOURCEPAGE:pp.61-63
Manual (Knowledge Computers)			CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Knowledge Computers)			PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Knowledge (Computers)			SOURCEPAGE:pp.61-63
Manual (Knowledge Genetics)			CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Knowledge Genetics)			PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Knowledge (Genetics)			SOURCEPAGE:pp.61-63
Manual (Knowledge Medicine)			CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Knowledge Medicine)			PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Knowledge (Medicine)			SOURCEPAGE:pp.61-63
Manual (Knowledge Pathology)			CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Knowledge Pathology)			PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Knowledge (Pathology)			SOURCEPAGE:pp.61-63
Manual (Knowledge Pharmacy)			CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Knowledge Pharmacy)			PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Knowledge (Pharmacy)			SOURCEPAGE:pp.61-63
Manual (Knowledge Technology)			CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Knowledge Technology)			PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Knowledge (Technology)			SOURCEPAGE:pp.61-63
Manual (Knowledge Vehicle Operations)	CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Knowledge Vehicle Operations)		PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Knowledge (Vehicle Operations)	SOURCEPAGE:pp.61-63
Manual (Open Lock)				CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Open Lock)					PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Open Lock					SOURCEPAGE:pp.61-63
Manual (Perform)					CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Perform)					PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Perform					SOURCEPAGE:pp.61-63
Manual (Profession Any)				CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Profession Any)				PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:TYPE=Profession				SOURCEPAGE:pp.61-63
Manual (Swim)					CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Swim)						PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Swim						SOURCEPAGE:pp.61-63
Manual (Use Rope)					CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Use Rope)					PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Use Rope					SOURCEPAGE:pp.61-63
Manual (Wilderness Lore)			CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Wilderness Lore)				PRELANG:1,Ancient	DESC:Internal for Manuals.												CSKILL:Wilderness Lore				SOURCEPAGE:pp.61-63
Manual (Speak Language Computer)		CATEGORY:FEAT		TYPE:Special	PREITEM:1,Manual (Speak Language Computer)		PRELANG:1,Ancient	DESC:Internal for Manuals.	MULT:YES	CHOOSE:SKILL|TYPE=Language	BONUS:SKILL|LIST|2								SOURCEPAGE:pp.61-63
