# CVS $Revision$ $Author$ -- Thu Jan 24 21:04:02 2008 -- reformated by prettylst.pl v1.38 (build 4314)
# Original Entry by: Tir Gwaith
SOURCELONG:Battlefield Press - Cityscape	SOURCESHORT:Cityscape	SOURCEWEB:http://battlefieldpress.com	SOURCEDATE:2002-11

# Language			Type
Chittin (Spoken)		TYPE:Spoken
Cityspeak (Spoken)	TYPE:Spoken
Draconic (Spoken)		TYPE:Spoken
Dwarven (Spoken)		TYPE:Spoken
Giant (Spoken)		TYPE:Spoken
Gnoll (Spoken)		TYPE:Spoken
Gnome (Spoken)		TYPE:Spoken
Goblin (Spoken)		TYPE:Spoken
Elven (Spoken)		TYPE:Spoken
Kazeen (Spoken)		TYPE:Spoken
Kobarr (Spoken)		TYPE:Spoken
Magog (Spoken)		TYPE:Spoken
Minotaur (Spoken)		TYPE:Spoken
Moria (Spoken)		TYPE:Spoken
Orc (Spoken)		TYPE:Spoken
Remusian (Spoken)		TYPE:Spoken
Seylian (Spoken)		TYPE:Spoken
Sylvan (Spoken)		TYPE:Spoken
Terran (Spoken)		TYPE:Spoken
Turok (Spoken)		TYPE:Spoken
Undercommon (Spoken)	TYPE:Spoken
Chittin (Written)		TYPE:Written
Cityspeak (Written)	TYPE:Written
Draconic (Written)	TYPE:Written
Dwarven (Written)		TYPE:Written
Elven (Written)		TYPE:Written
Giant (Written)		TYPE:Written
Gnoll (Written)		TYPE:Written
Gnome (Written)		TYPE:Written
Goblin (Written)		TYPE:Written
Kazeen (Written)		TYPE:Written
Kobarr (Written)		TYPE:Written
Magog (Written)		TYPE:Written
Minotaur (Written)	TYPE:Written
Moria (Written)		TYPE:Written
Orc (Written)		TYPE:Written
Remusian (Written)	TYPE:Written
Seylian (Written)		TYPE:Written
Sylvan (Written)		TYPE:Written
Terran (Written)		TYPE:Written
Turok (Written)		TYPE:Written
Undercommon (Written)	TYPE:Written
Digital			TYPE:Special
