# CVS $Revision$ $Author$ -- Thu Jan 24 20:10:06 2008 -- reformated by prettylst.pl v1.38 (build 4314)
SOURCELONG:Oathbound - Domains of the Forge	SOURCESHORT:Oathbound	SOURCEWEB:http://www.bastionpress.com	SOURCEDATE:2003-08
# Input by Ruemere, email: ruemere@poczta.onet.pl

# Language					Type
Asherake					TYPE:Spoken.Forge
Chromithian					TYPE:Spoken.Forge
Ceptu						TYPE:Spoken.Forge
Deep Fey					TYPE:Spoken.Forge
Dover						TYPE:Spoken.Forge
Faust						TYPE:Spoken.Forge
Frey						TYPE:Spoken.Forge
Ith'n Ya'roo				TYPE:Spoken.Forge
Knuk						TYPE:Spoken.Forge
Kraggon					TYPE:Spoken.Forge
Lunar						TYPE:Spoken.Forge
Makkru					TYPE:Spoken.Forge
Nightling					TYPE:Spoken.Forge
Picker					TYPE:Spoken.Forge
Silver					TYPE:Spoken.Forge
Telepathy (convey thoughts only)	TYPE:Forge
Trusk						TYPE:Spoken.Forge
Urgoda					TYPE:Spoken.Forge
Valco						TYPE:Spoken.Forge
Vogel						TYPE:Spoken.Forge
