# CVS $Revision$ $Author$ -- Sun Mar 19 07:31:26 2006 -- reformated by prettylst.pl v1.35 (build 561)
SOURCELONG:Fantasy Flight Games - School of Illusion	SOURCESHORT:Ill	SOURCEWEB:http://www.fantasyflightgames.com/dd38.html
# Original entry by: Ratheof Blithwyn

#
###Block: Fireworks Spell Foci
# Equipment Name	Type					Cost		Weight	Source Page
Sparkler Flare	TYPE:Foci.Firework.Alchemical	COST:10	WT:0.05	SOURCEPAGE:p.52
Smoke Bomb		TYPE:Foci.Firework.Alchemical	COST:30	WT:0.05	SOURCEPAGE:p.52
Boomers		TYPE:Foci.Firework.Alchemical	COST:30	WT:0.05	SOURCEPAGE:p.52
Tin Shriekers	TYPE:Foci.Firework.Alchemical	COST:20	WT:0.05	SOURCEPAGE:p.52
Throwing Rockets	TYPE:Foci.Firework.Alchemical	COST:60	WT:0.05	SOURCEPAGE:p.52



#
###Block: Baldon's Creature Foci
# Equipment Name		Type				Cost		Weight	Source Page
Crystal Dragon		TYPE:Foci.Goods.Statue	COST:300	WT:0.5	SOURCEPAGE:p.54
Copper Orc			TYPE:Foci.Goods.Statue	COST:300	WT:0.5	SOURCEPAGE:p.54
Onyx Beholder		TYPE:Foci.Goods.Statue	COST:300	WT:0.5	SOURCEPAGE:p.54
Brass Horse			TYPE:Foci.Goods.Statue	COST:300	WT:0.5	SOURCEPAGE:p.54
Wooden Golem		TYPE:Foci.Goods.Statue	COST:300	WT:0.5	SOURCEPAGE:p.54
Clay Elemental		TYPE:Foci.Goods.Statue	COST:300	WT:0.5	SOURCEPAGE:p.54
Granite Giant		TYPE:Foci.Goods.Statue	COST:300	WT:0.5	SOURCEPAGE:p.54
Silver Unicorn		TYPE:Foci.Goods.Statue	COST:300	WT:0.5	SOURCEPAGE:p.54
Marble Minotaur		TYPE:Foci.Goods.Statue	COST:300	WT:0.5	SOURCEPAGE:p.54
Jade Slime			TYPE:Foci.Goods.Statue	COST:300	WT:0.5	SOURCEPAGE:p.54
Amber Vrock			TYPE:Foci.Goods.Statue	COST:300	WT:0.5	SOURCEPAGE:p.54
Glass Rose			TYPE:Foci.Goods.Statue	COST:300	WT:0.5	SOURCEPAGE:p.54
Bone Lich			TYPE:Foci.Goods.Statue	COST:300	WT:0.5	SOURCEPAGE:p.54
Jet Spider			TYPE:Foci.Goods.Statue	COST:300	WT:0.5	SOURCEPAGE:p.54

Hypnotic Pendant		TYPE:Foci.Goods.Jewel	COST:150	WT:0		SOURCEPAGE:p.55
Prismatic Lens		TYPE:Foci.Goods.Tools	COST:50	WT:0		SOURCEPAGE:p.55
Distorted Spectacles	TYPE:Foci.Goods.Tools	COST:50	WT:0		SOURCEPAGE:p.55
# Mirrors, Magnifying lenses and scented oils can also be used as spell foci

#
###Block: Drugs
# Equipment Name		Type						Cost		Weight	Source Page
Displacer Blood		TYPE:Alchemical.Drug.Consumable	COST:75	WT:0		SOURCEPAGE:p.56
Destrachan Wax		TYPE:Alchemical.Drug.Consumable	COST:60	WT:0		SOURCEPAGE:p.56
Vision Powder		TYPE:Alchemical.Drug.Consumable	COST:100	WT:0		SOURCEPAGE:p.56
Distillation of Dreams	TYPE:Alchemical.Drug.Consumable	COST:200	WT:0		SOURCEPAGE:p.56


#
###Block: Robe
# Equipment Name		Type					Cost		Source Page
Illusionist's Robe	TYPE:Magic.Wondrous.Robe	COST:500	SOURCEPAGE:p.57
